AGS,Year,Gebietseinheit,Kinderbetreuung,Units,GeoCode,Value
357,2016,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,15.5447298494243
358,2016,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,15.4983431047668
359,2016,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,16.8421052631579
360,2016,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,16.2363238512035
361,2016,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,22.744814278823
3,2016,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,16.9471153846154
401,2016,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,43.8743455497382
402,2016,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,22.9485396383866
403,2016,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,25.769077107471
404,2016,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,27.7596741344196
405,2016,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,23.5498839907193
451,2016,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,16.1989441511531
452,2016,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,13.3744459433417
453,2016,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,24.2027000586969
454,2016,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,19.8391693811075
455,2016,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,7.93593010556971
456,2016,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,26.927667701122
457,2016,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,13.9179755671902
458,2016,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,10.1791530944625
459,2016,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,19.1604603926879
460,2016,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,27.3064250411862
461,2016,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,21.2011285771866
462,2016,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,12.0403749098774
4,2016,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,20.6212831264217
0,2016,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,22.8230151688919
101,2015,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,31.9907470404137
102,2015,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,39.9709302325581
103,2015,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,30.61625337589
151,2015,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,17.1944782785221
153,2015,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,15.8938279501119
154,2015,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,12.8659793814433
155,2015,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,18.9559638378536
157,2015,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,20.514152168268
158,2015,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,12.7380952380952
159,2015,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,23.5031776117739
1,2015,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,23.3388310250559
241,2015,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,34.5610193111686
241001,2015,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,44.3609911881247
241999,2015,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,25.4821389436774
251,2015,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,18.2980900409277
252,2015,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,22.2360557768924
254,2015,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,22.5475644312508
255,2015,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,17.4163783160323
256,2015,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,20.5425175251448
257,2015,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,22.6044852191641
2,2015,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,28.7534003355541
351,2015,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,13.3460803059273
352,2015,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,14.7889908256881
353,2015,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,18.992443324937
354,2015,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,12.3486682808717
355,2015,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,15.5221238938053
356,2015,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,13.6594663278272
357,2015,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,13.4138309549945
358,2015,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,15.6684356835987
359,2015,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,16.5454237861614
360,2015,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,13.6786188579017
361,2015,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,21.0643564356436
3,2015,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,15.8792199112983
401,2015,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,30.9419496166484
402,2015,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,21.3427561837456
403,2015,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,25.9328747133625
404,2015,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,27.1633118904337
405,2015,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,19.9392097264438
451,2015,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,13.3140376266281
452,2015,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,11.1693548387097
453,2015,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,24.1483571860512
454,2015,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,17.9685149904743
455,2015,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,7.9136690647482
456,2015,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,27.4372586872587
457,2015,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,14.9162861491629
458,2015,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,12.1048365306674
459,2015,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,18.1035326352872
460,2015,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,26.0037445392136
461,2015,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,19.7551709582102
462,2015,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,11.7566643882433
4,2015,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,19.4612363150124
0,2015,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,21.9530475035821
101,2014,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,32.1311025781679
102,2014,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,38.3396226415094
103,2014,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,30
151,2014,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,16.3086548488008
153,2014,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,16.1410018552876
154,2014,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,9.6528365791702
155,2014,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,16.4192139737991
157,2014,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,21.1188436830835
158,2014,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,13.3213859020311
159,2014,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,22.5326925226333
1,2014,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,22.5864875398336
241,2014,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,34.4615653491014
241001,2014,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,44.0917107583774
241999,2014,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,25.6093470483005
251,2014,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,18.4572523071565
252,2014,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,25.482912332838
254,2014,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,22.5339128144343
255,2014,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,19.6951934349355
256,2014,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,21.2746305418719
257,2014,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,20.3281209946168
2,2014,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,28.8160501981506
351,2014,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,15.1035781544256
352,2014,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,14.8282097649186
353,2014,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,18.6954288649204
354,2014,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,10.672268907563
355,2014,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,15.5494505494505
356,2014,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,13.3526383526384
357,2014,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,14.8565121412804
358,2014,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,18.3506686478455
359,2014,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,14.441130022811
360,2014,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,14.5860709592641
361,2014,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,20.4665161775771
3,2014,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,16.0558428550988
401,2014,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,33.4269662921348
402,2014,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,21.5282880235121
403,2014,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,17.3709917179868
404,2014,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,37.4338344272708
405,2014,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,21.5235792019347
451,2014,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,12.5921375921376
452,2014,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,11.9258496395469
453,2014,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,24.0261064654293
454,2014,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,17.6397899289466
455,2014,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,8.37138508371385
456,2014,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,25.6538278649548
457,2014,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,15.4383592517467
458,2014,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,11.3382899628253
459,2014,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,19.9728787291747
460,2014,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,28.4783522488441
461,2014,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,18.4199584199584
462,2014,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,11.6978609625668
4,2014,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,19.9458941554416
0,2014,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,22.0079081017878
101,2013,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,31.8393480791618
102,2013,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,34.7126436781609
103,2013,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,30.8296257524208
151,2013,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,15.238298781791
153,2013,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,17.4097664543524
154,2013,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,8.87269609944278
155,2013,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,15.9882869692533
157,2013,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,21.3510580575149
158,2013,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,14.2035130224107
159,2013,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,21.8642373069659
1,2013,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,22.1684954435559
241,2013,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,34.5134355548808
241001,2013,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,44.771410173857
241999,2013,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,25.3605285837403
251,2013,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,19.0734265734266
252,2013,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,24.1627387744976
254,2013,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,22.7732111575259
255,2013,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,21.4199759326113
256,2013,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,22.2153273347813
257,2013,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,20.5475946775844
2,2013,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,28.8573853989813
351,2013,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,13.0543290458821
352,2013,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,15.0044923629829
353,2013,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,18.1866809307301
354,2013,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,12.3931623931624
355,2013,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,15.9403886059234
356,2013,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,13.7394247038917
357,2013,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,13.0642361111111
358,2013,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,16.2065439672802
359,2013,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,16.2147505422993
360,2013,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,13.1377551020408
361,2013,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,20.7894736842105
3,2013,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,15.6697715216574
401,2013,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,26.1744966442953
402,2013,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,20.193740685544
403,2013,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,25.9154315605929
404,2013,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,36.9254453485815
405,2013,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,24.1717791411043
451,2013,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,12.760736196319
452,2013,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,12.513166210238
453,2013,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,29.9688473520249
454,2013,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,18.0604796663191
455,2013,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,9.5679012345679
456,2013,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,24.5497162595608
457,2013,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,14.0105480394405
458,2013,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,13.5731807031889
459,2013,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,21.4656549520767
460,2013,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,29.4398610508033
461,2013,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,20.8316511909568
462,2013,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,10.6169296987088
4,2013,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,21.1702051097517
0,2013,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,22.229823097235
101,2012,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,29.9747737052975
102,2012,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,41.844512195122
103,2012,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,34.30359085963
151,2012,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,17.1133150453682
153,2012,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,17.5824175824176
154,2012,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,9.85221674876847
155,2012,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,16.1643026004728
157,2012,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,19.712865819989
158,2012,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,13.2786387116378
159,2012,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,22.4308522599505
1,2012,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,22.7859127077546
241,2012,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,34.6284362255222
241001,2012,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,44.030099220883
241999,2012,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,26.3739476145931
251,2012,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,18.3854072602492
252,2012,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,22.9743331655762
254,2012,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,20.4296661193213
255,2012,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,23.7144585601936
256,2012,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,22.7373068432671
257,2012,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,21.6772554002541
2,2012,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,28.6192135045668
351,2012,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,12.9960317460317
352,2012,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,15.0072939460248
353,2012,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,17.8777703156481
354,2012,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,10.732538330494
355,2012,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,16.6601941747573
356,2012,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,13.3491847826087
357,2012,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,14.4833742468199
358,2012,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,16.3892445582586
359,2012,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,19.1187453323376
360,2012,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,14.5161290322581
361,2012,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,23.3907284768212
3,2012,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,16.398146573712
401,2012,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,33.6338028169014
402,2012,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,20.8204334365325
403,2012,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,27.238475177305
404,2012,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,37.6400640292705
405,2012,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,26.8489745183344
451,2012,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,14.0978593272171
452,2012,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,12.8352915096431
453,2012,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,28.0908152734778
454,2012,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,19.6357366095484
455,2012,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,11.7071260767424
456,2012,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,26.5408805031447
457,2012,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,12.9595160539786
458,2012,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,13.9093484419263
459,2012,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,24.3010752688172
460,2012,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,28.4045835169678
461,2012,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,20.7492795389049
462,2012,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,9.78502594514455
4,2012,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,22.2313854853911
0,2012,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,22.7784259676752
101,2011,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,27.0960488274976
102,2011,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,39.96
103,2011,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,34.1236494597839
151,2011,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,14.0460314046031
153,2011,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,17.3899661434287
154,2011,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,11.427260211106
155,2011,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,15.4865923470925
157,2011,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,18.1050912060986
158,2011,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,12.2854561878952
159,2011,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,20.8141674333027
1,2011,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,21.1136496208439
241,2011,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,33.6115504997812
241001,2011,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,44.4193006788817
241999,2011,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,24.3661795928563
251,2011,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,16.7948958528805
252,2011,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,18.8500135611608
254,2011,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,20.1742919389978
255,2011,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,21.0623841877702
256,2011,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,20.5470737913486
257,2011,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,18.9087251697259
2,2011,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,27.0541266512124
351,2011,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,19.2472024415056
352,2011,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,15.3028289348775
353,2011,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,16.5273775216138
354,2011,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,8.36148648648649
355,2011,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,16.7100260156094
356,2011,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,14.0568099053168
357,2011,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,15.5092078988241
358,2011,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,17.7215189873418
359,2011,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,17.8717598908595
360,2011,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,13.3844073907165
361,2011,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,20.8573784006595
3,2011,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,16.6817389769945
401,2011,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,41.7670682730924
402,2011,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,19.9364575059571
403,2011,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,26.4349416876286
404,2011,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,38.7561038293498
405,2011,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,27.6780185758514
451,2011,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,12.3058178495279
452,2011,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,12.4564257494771
453,2011,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,25.8220078912758
454,2011,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,17.8291896869245
455,2011,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,9.20998772001637
456,2011,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,24.7248322147651
457,2011,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,12.55
458,2011,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,13.3239038189533
459,2011,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,24.0723417524166
460,2011,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,27.3773889016809
461,2011,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,21.5513442044954
462,2011,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,10.6495468277946
4,2011,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,21.563014605168
0,2011,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,21.848094377393
101,2010,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,27.0960488274976
102,2010,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,39.96
103,2010,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,34.1236494597839
