Gebietseinheit,Year,Nationalität,Schulform,Units,GeoCode,Value
Statistische Region Lüneburg,2005,Deutsche,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2005,Deutsche,Oberschule,Prozent,SR034,-
Niedersachsen,2005,Deutsche,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2020,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,13.2568514977693
Statistische Region Hannover,2020,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,19.0676594367109
Statistische Region Lüneburg,2020,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,11.8468899521531
Statistische Region Weser-Ems,2020,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,16.1396885323266
Niedersachsen,2020,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,15.1642246309712
Statistische Region Braunschweig,2019,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,12.0296113510179
Statistische Region Hannover,2019,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,19.8179979777553
Statistische Region Lüneburg,2019,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,10.4254927242586
Statistische Region Weser-Ems,2019,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,3.45037795659595
Niedersachsen,2019,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,13.9639878897328
Statistische Region Braunschweig,2018,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,12.375
Statistische Region Hannover,2018,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,14.2806894125923
Statistische Region Lüneburg,2018,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,9.8502615911961
Statistische Region Weser-Ems,2018,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,12.178093166991
Niedersachsen,2018,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,11.8250280403781
Statistische Region Braunschweig,2017,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,9.94152046783626
Statistische Region Hannover,2017,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,14.3778452200304
Statistische Region Lüneburg,2017,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,8.3364004416636
Statistische Region Weser-Ems,2017,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,11.3877307921382
Niedersachsen,2017,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,10.7730398899587
Statistische Region Braunschweig,2016,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,8.31733845169546
Statistische Region Hannover,2016,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,10.609857978279
Statistische Region Lüneburg,2016,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,6.80948737566947
Statistische Region Weser-Ems,2016,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,9.21375921375921
Niedersachsen,2016,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,8.57004421294894
Statistische Region Braunschweig,2015,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,5.14018691588785
Statistische Region Hannover,2015,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,9.23660902572754
Statistische Region Lüneburg,2015,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,5.12360446570973
Statistische Region Weser-Ems,2015,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,6.89499774673276
Niedersachsen,2015,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,6.5113884956891
Statistische Region Braunschweig,2014,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,3.43839541547278
Statistische Region Hannover,2014,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,7.71586037966932
Statistische Region Lüneburg,2014,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,3.85852090032154
Statistische Region Weser-Ems,2014,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,5.0556586270872
Niedersachsen,2014,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,4.94951494753514
Statistische Region Braunschweig,2013,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2013,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2013,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2013,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,-
Niedersachsen,2013,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2012,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2012,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2012,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2012,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,-
Niedersachsen,2012,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2011,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2011,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2011,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2011,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,-
Niedersachsen,2011,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2010,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2010,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2010,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2010,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,-
Niedersachsen,2010,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2005,Ausländerinnen und Ausländer,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2005,Ausländerinnen und Ausländer,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2005,Ausländerinnen und Ausländer,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2005,Ausländerinnen und Ausländer,Oberschule,Prozent,SR034,-
Niedersachsen,2005,Ausländerinnen und Ausländer,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2020,Deutsche,Gymnasium,Prozent,SR031,93.911135490949
Statistische Region Hannover,2020,Deutsche,Gymnasium,Prozent,SR032,94.6260387811634
Statistische Region Lüneburg,2020,Deutsche,Gymnasium,Prozent,SR033,96.3843150568664
Statistische Region Weser-Ems,2020,Deutsche,Gymnasium,Prozent,SR034,95.2856966555597
Niedersachsen,2020,Deutsche,Gymnasium,Prozent,SR030,95.0680208372372
Statistische Region Braunschweig,2019,Deutsche,Gymnasium,Prozent,SR031,95.2266863251014
Statistische Region Hannover,2019,Deutsche,Gymnasium,Prozent,SR032,95.180070403466
Statistische Region Lüneburg,2019,Deutsche,Gymnasium,Prozent,SR033,97.1688574317492
Statistische Region Weser-Ems,2019,Deutsche,Gymnasium,Prozent,SR034,96.549622043404
Niedersachsen,2019,Deutsche,Gymnasium,Prozent,SR030,96.0442333382811
Statistische Region Braunschweig,2018,Deutsche,Gymnasium,Prozent,SR031,96
Statistische Region Hannover,2018,Deutsche,Gymnasium,Prozent,SR032,95.8177202949353
Statistische Region Lüneburg,2018,Deutsche,Gymnasium,Prozent,SR033,97.3
Statistische Region Weser-Ems,2018,Deutsche,Gymnasium,Prozent,SR034,96.8231594925729
Niedersachsen,2018,Deutsche,Gymnasium,Prozent,SR030,96.497156239545
Statistische Region Braunschweig,2017,Deutsche,Gymnasium,Prozent,SR031,95.5705173635719
Statistische Region Hannover,2017,Deutsche,Gymnasium,Prozent,SR032,95.4112971215223
Statistische Region Lüneburg,2017,Deutsche,Gymnasium,Prozent,SR033,97.5630983463882
Statistische Region Weser-Ems,2017,Deutsche,Gymnasium,Prozent,SR034,97.0054644808743
Niedersachsen,2017,Deutsche,Gymnasium,Prozent,SR030,96.4222600113367
Statistische Region Braunschweig,2016,Deutsche,Gymnasium,Prozent,SR031,94.2
Statistische Region Hannover,2016,Deutsche,Gymnasium,Prozent,SR032,96.4184265777448
Statistische Region Lüneburg,2016,Deutsche,Gymnasium,Prozent,SR033,97.7460901563937
Statistische Region Weser-Ems,2016,Deutsche,Gymnasium,Prozent,SR034,97.4450918870462
Niedersachsen,2016,Deutsche,Gymnasium,Prozent,SR030,96.9809901531729
Statistische Region Braunschweig,2015,Deutsche,Gymnasium,Prozent,SR031,93.9
Statistische Region Hannover,2015,Deutsche,Gymnasium,Prozent,SR032,96.4650819066387
Statistische Region Lüneburg,2015,Deutsche,Gymnasium,Prozent,SR033,98.5474693021863
Statistische Region Weser-Ems,2015,Deutsche,Gymnasium,Prozent,SR034,97.8364584489071
Niedersachsen,2015,Deutsche,Gymnasium,Prozent,SR030,97.5297720313032
Statistische Region Braunschweig,2014,Deutsche,Gymnasium,Prozent,SR031,97.1953085160632
Statistische Region Hannover,2014,Deutsche,Gymnasium,Prozent,SR032,96.6276923076923
Statistische Region Lüneburg,2014,Deutsche,Gymnasium,Prozent,SR033,98.278905560459
Statistische Region Weser-Ems,2014,Deutsche,Gymnasium,Prozent,SR034,97.6090788893786
Niedersachsen,2014,Deutsche,Gymnasium,Prozent,SR030,97.413158423131
Statistische Region Braunschweig,2013,Deutsche,Gymnasium,Prozent,SR031,97.3363651128796
Statistische Region Hannover,2013,Deutsche,Gymnasium,Prozent,SR032,95.7701797673599
Statistische Region Lüneburg,2013,Deutsche,Gymnasium,Prozent,SR033,98.6690949845895
Statistische Region Weser-Ems,2013,Deutsche,Gymnasium,Prozent,SR034,97.67268068752
Niedersachsen,2013,Deutsche,Gymnasium,Prozent,SR030,97.3149841208738
Statistische Region Braunschweig,2012,Deutsche,Gymnasium,Prozent,SR031,97.1650300918594
Statistische Region Hannover,2012,Deutsche,Gymnasium,Prozent,SR032,95.3828701077708
Statistische Region Lüneburg,2012,Deutsche,Gymnasium,Prozent,SR033,98.4269965044367
Statistische Region Weser-Ems,2012,Deutsche,Gymnasium,Prozent,SR034,97.8794877178249
Niedersachsen,2012,Deutsche,Gymnasium,Prozent,SR030,97.1800704203409
Statistische Region Braunschweig,2011,Deutsche,Gymnasium,Prozent,SR031,-
Statistische Region Hannover,2011,Deutsche,Gymnasium,Prozent,SR032,95.173766205469
Statistische Region Lüneburg,2011,Deutsche,Gymnasium,Prozent,SR033,98.211972013475
Statistische Region Weser-Ems,2011,Deutsche,Gymnasium,Prozent,SR034,97.5695139027806
Niedersachsen,2011,Deutsche,Gymnasium,Prozent,SR030,96.9814356804434
Statistische Region Braunschweig,2010,Deutsche,Gymnasium,Prozent,SR031,97.029702970297
Statistische Region Hannover,2010,Deutsche,Gymnasium,Prozent,SR032,95.6618112729576
Statistische Region Lüneburg,2010,Deutsche,Gymnasium,Prozent,SR033,98.3074222668004
Statistische Region Weser-Ems,2010,Deutsche,Gymnasium,Prozent,SR034,97.8136882129278
Niedersachsen,2010,Deutsche,Gymnasium,Prozent,SR030,97.1860730593607
Statistische Region Braunschweig,2005,Deutsche,Gymnasium,Prozent,SR031,96.8948035487959
Statistische Region Hannover,2005,Deutsche,Gymnasium,Prozent,SR032,94.035594035594
Statistische Region Lüneburg,2005,Deutsche,Gymnasium,Prozent,SR033,98.0819912152269
Statistische Region Weser-Ems,2005,Deutsche,Gymnasium,Prozent,SR034,97.3954913547822
Niedersachsen,2005,Deutsche,Gymnasium,Prozent,SR030,96.5322264348281
Statistische Region Braunschweig,2020,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,6.08886450905101
Statistische Region Hannover,2020,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,5.37396121883656
Statistische Region Lüneburg,2020,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,3.61568494313359
Statistische Region Weser-Ems,2020,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,4.71430334444033
Niedersachsen,2020,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,4.93197916276281
Statistische Region Braunschweig,2019,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,4.77331367489864
Statistische Region Hannover,2019,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,4.81992959653398
Statistische Region Lüneburg,2019,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,2.83114256825076
Statistische Region Weser-Ems,2019,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,3.45037795659595
Niedersachsen,2019,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,3.95576666171887
Statistische Region Braunschweig,2018,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,4
Statistische Region Hannover,2018,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,4.18227970506467
Statistische Region Lüneburg,2018,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,2.7
Statistische Region Weser-Ems,2018,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,3.17684050742708
Niedersachsen,2018,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,3.502843760455
Statistische Region Braunschweig,2017,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,4.42948263642807
Statistische Region Hannover,2017,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,4.58870287847766
Statistische Region Lüneburg,2017,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,2.43690165361184
Statistische Region Weser-Ems,2017,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.99453551912568
Niedersachsen,2017,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,3.57773998866327
Statistische Region Braunschweig,2016,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,2.8
Statistische Region Hannover,2016,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,3.58157342225516
Statistische Region Lüneburg,2016,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,2.25390984360626
Statistische Region Weser-Ems,2016,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.55490811295383
Niedersachsen,2016,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,3.01900984682713
Statistische Region Braunschweig,2015,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,2.6
Statistische Region Hannover,2015,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,3.53491809336125
Statistische Region Lüneburg,2015,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,1.45253069781372
Statistische Region Weser-Ems,2015,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.16354155109287
Niedersachsen,2015,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,2.47022796869684
Statistische Region Braunschweig,2014,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,2.80469148393677
Statistische Region Hannover,2014,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,3.37230769230769
Statistische Region Lüneburg,2014,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,1.72109443954104
Statistische Region Weser-Ems,2014,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.39092111062142
Niedersachsen,2014,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,2.58684157686902
Statistische Region Braunschweig,2013,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,2.66363488712035
Statistische Region Hannover,2013,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,4.22982023264011
Statistische Region Lüneburg,2013,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,1.33090501541048
Statistische Region Weser-Ems,2013,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.32731931247998
Niedersachsen,2013,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,2.68501587912617
Statistische Region Braunschweig,2012,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,2.83496990814064
Statistische Region Hannover,2012,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,4.61712989222915
Statistische Region Lüneburg,2012,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,1.57300349556332
Statistische Region Weser-Ems,2012,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.1205122821751
Niedersachsen,2012,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,2.81992957965912
Statistische Region Braunschweig,2011,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,-
Statistische Region Hannover,2011,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,4.82623379453099
Statistische Region Lüneburg,2011,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,1.78802798652501
Statistische Region Weser-Ems,2011,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.43048609721944
Niedersachsen,2011,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,3.0185643195566
Statistische Region Braunschweig,2010,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,2.97029702970297
Statistische Region Hannover,2010,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,4.33818872704243
Statistische Region Lüneburg,2010,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,1.6925777331996
Statistische Region Weser-Ems,2010,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.18631178707224
Niedersachsen,2010,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,2.81392694063927
Statistische Region Braunschweig,2005,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR031,3.10519645120406
Statistische Region Hannover,2005,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR032,5.96440596440596
Statistische Region Lüneburg,2005,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR033,1.91800878477306
Statistische Region Weser-Ems,2005,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR034,2.60450864521777
Niedersachsen,2005,Ausländerinnen und Ausländer,Gymnasium,Prozent,SR030,3.46777356517192
Statistische Region Braunschweig,2020,Deutsche,Integrierte Gesamtschule,Prozent,SR031,92.3119622536775
Statistische Region Hannover,2020,Deutsche,Integrierte Gesamtschule,Prozent,SR032,87.3944770353413
Statistische Region Lüneburg,2020,Deutsche,Integrierte Gesamtschule,Prozent,SR033,92.6144341477113
Statistische Region Weser-Ems,2020,Deutsche,Integrierte Gesamtschule,Prozent,SR034,93.0436847103514
Niedersachsen,2020,Deutsche,Integrierte Gesamtschule,Prozent,SR030,90.6670296760142
Statistische Region Braunschweig,2019,Deutsche,Integrierte Gesamtschule,Prozent,SR031,93.9837398373984
Statistische Region Hannover,2019,Deutsche,Integrierte Gesamtschule,Prozent,SR032,89.1763691246227
Statistische Region Lüneburg,2019,Deutsche,Integrierte Gesamtschule,Prozent,SR033,93.854748603352
Statistische Region Weser-Ems,2019,Deutsche,Integrierte Gesamtschule,Prozent,SR034,93.7816341287057
Niedersachsen,2019,Deutsche,Integrierte Gesamtschule,Prozent,SR030,92.0929473225947
Statistische Region Braunschweig,2018,Deutsche,Integrierte Gesamtschule,Prozent,SR031,92.9915639195328
Statistische Region Hannover,2018,Deutsche,Integrierte Gesamtschule,Prozent,SR032,89.9305555555556
Statistische Region Lüneburg,2018,Deutsche,Integrierte Gesamtschule,Prozent,SR033,93.8957816377171
Statistische Region Weser-Ems,2018,Deutsche,Integrierte Gesamtschule,Prozent,SR034,94.4462919853675
Niedersachsen,2018,Deutsche,Integrierte Gesamtschule,Prozent,SR030,92.4259497746297
Statistische Region Braunschweig,2017,Deutsche,Integrierte Gesamtschule,Prozent,SR031,94.8064836255375
Statistische Region Hannover,2017,Deutsche,Integrierte Gesamtschule,Prozent,SR032,91.0130718954248
Statistische Region Lüneburg,2017,Deutsche,Integrierte Gesamtschule,Prozent,SR033,95.3280839895013
Statistische Region Weser-Ems,2017,Deutsche,Integrierte Gesamtschule,Prozent,SR034,95.5845990815966
Niedersachsen,2017,Deutsche,Integrierte Gesamtschule,Prozent,SR030,93.7224943950843
Statistische Region Braunschweig,2016,Deutsche,Integrierte Gesamtschule,Prozent,SR031,96.0560265388868
Statistische Region Hannover,2016,Deutsche,Integrierte Gesamtschule,Prozent,SR032,92.442173211404
Statistische Region Lüneburg,2016,Deutsche,Integrierte Gesamtschule,Prozent,SR033,97.2809667673716
Statistische Region Weser-Ems,2016,Deutsche,Integrierte Gesamtschule,Prozent,SR034,95.6204379562044
Niedersachsen,2016,Deutsche,Integrierte Gesamtschule,Prozent,SR030,94.8825895780709
Statistische Region Braunschweig,2015,Deutsche,Integrierte Gesamtschule,Prozent,SR031,95.6441491325212
Statistische Region Hannover,2015,Deutsche,Integrierte Gesamtschule,Prozent,SR032,91.6762013729977
Statistische Region Lüneburg,2015,Deutsche,Integrierte Gesamtschule,Prozent,SR033,97.0854922279793
Statistische Region Weser-Ems,2015,Deutsche,Integrierte Gesamtschule,Prozent,SR034,97.3195139385275
Niedersachsen,2015,Deutsche,Integrierte Gesamtschule,Prozent,SR030,94.984355740969
Statistische Region Braunschweig,2014,Deutsche,Integrierte Gesamtschule,Prozent,SR031,96.2781186094069
Statistische Region Hannover,2014,Deutsche,Integrierte Gesamtschule,Prozent,SR032,92.6285714285714
Statistische Region Lüneburg,2014,Deutsche,Integrierte Gesamtschule,Prozent,SR033,96.95885509839
Statistische Region Weser-Ems,2014,Deutsche,Integrierte Gesamtschule,Prozent,SR034,97.5662913185616
Niedersachsen,2014,Deutsche,Integrierte Gesamtschule,Prozent,SR030,95.4156479217604
Statistische Region Braunschweig,2013,Deutsche,Integrierte Gesamtschule,Prozent,SR031,96.8516332152696
Statistische Region Hannover,2013,Deutsche,Integrierte Gesamtschule,Prozent,SR032,92.6958052214726
Statistische Region Lüneburg,2013,Deutsche,Integrierte Gesamtschule,Prozent,SR033,98.3030303030303
Statistische Region Weser-Ems,2013,Deutsche,Integrierte Gesamtschule,Prozent,SR034,98.1967855742846
Niedersachsen,2013,Deutsche,Integrierte Gesamtschule,Prozent,SR030,95.8288655372078
Statistische Region Braunschweig,2012,Deutsche,Integrierte Gesamtschule,Prozent,SR031,94.6114577424844
Statistische Region Hannover,2012,Deutsche,Integrierte Gesamtschule,Prozent,SR032,91.5071353985381
Statistische Region Lüneburg,2012,Deutsche,Integrierte Gesamtschule,Prozent,SR033,98.7202925045704
Statistische Region Weser-Ems,2012,Deutsche,Integrierte Gesamtschule,Prozent,SR034,98.5458612975391
Niedersachsen,2012,Deutsche,Integrierte Gesamtschule,Prozent,SR030,94.663606369244
Statistische Region Braunschweig,2011,Deutsche,Integrierte Gesamtschule,Prozent,SR031,94.8072383949646
Statistische Region Hannover,2011,Deutsche,Integrierte Gesamtschule,Prozent,SR032,89.9620184481823
Statistische Region Lüneburg,2011,Deutsche,Integrierte Gesamtschule,Prozent,SR033,99.7395833333333
Statistische Region Weser-Ems,2011,Deutsche,Integrierte Gesamtschule,Prozent,SR034,98.5576923076923
Niedersachsen,2011,Deutsche,Integrierte Gesamtschule,Prozent,SR030,94.4893015744853
Statistische Region Braunschweig,2010,Deutsche,Integrierte Gesamtschule,Prozent,SR031,95.1043338683788
Statistische Region Hannover,2010,Deutsche,Integrierte Gesamtschule,Prozent,SR032,91.7877094972067
Statistische Region Lüneburg,2010,Deutsche,Integrierte Gesamtschule,Prozent,SR033,99.4301994301994
Statistische Region Weser-Ems,2010,Deutsche,Integrierte Gesamtschule,Prozent,SR034,98.3545250560957
Niedersachsen,2010,Deutsche,Integrierte Gesamtschule,Prozent,SR030,95.0889077053345
Statistische Region Braunschweig,2005,Deutsche,Integrierte Gesamtschule,Prozent,SR031,93.9748201438849
Statistische Region Hannover,2005,Deutsche,Integrierte Gesamtschule,Prozent,SR032,91.4648910411622
Statistische Region Lüneburg,2005,Deutsche,Integrierte Gesamtschule,Prozent,SR033,100
Statistische Region Weser-Ems,2005,Deutsche,Integrierte Gesamtschule,Prozent,SR034,96.6772151898734
Niedersachsen,2005,Deutsche,Integrierte Gesamtschule,Prozent,SR030,94.2449355432781
Statistische Region Braunschweig,2020,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,7.68803774632251
Statistische Region Hannover,2020,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,12.6055229646587
Statistische Region Lüneburg,2020,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,7.38556585228868
Statistische Region Weser-Ems,2020,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,6.95631528964862
Niedersachsen,2020,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,9.33297032398584
Statistische Region Braunschweig,2019,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,6.01626016260163
Statistische Region Hannover,2019,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,10.8236308753773
Statistische Region Lüneburg,2019,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,6.14525139664804
Statistische Region Weser-Ems,2019,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,6.21836587129429
Niedersachsen,2019,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,7.90705267740531
Statistische Region Braunschweig,2018,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,7.00843608046723
Statistische Region Hannover,2018,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,10.0694444444444
Statistische Region Lüneburg,2018,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,6.10421836228288
Statistische Region Weser-Ems,2018,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,5.55370801463252
Niedersachsen,2018,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,7.57405022537025
Statistische Region Braunschweig,2017,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,5.19351637446245
Statistische Region Hannover,2017,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,8.98692810457516
Statistische Region Lüneburg,2017,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,4.67191601049869
Statistische Region Weser-Ems,2017,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,4.41540091840339
Niedersachsen,2017,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,6.27750560491572
Statistische Region Braunschweig,2016,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,3.94397346111316
Statistische Region Hannover,2016,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,7.55782678859602
Statistische Region Lüneburg,2016,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,2.7190332326284
Statistische Region Weser-Ems,2016,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,4.37956204379562
Niedersachsen,2016,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,5.11741042192909
Statistische Region Braunschweig,2015,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,4.35585086747877
Statistische Region Hannover,2015,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,8.32379862700229
Statistische Region Lüneburg,2015,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,2.91450777202073
Statistische Region Weser-Ems,2015,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,2.68048606147248
Niedersachsen,2015,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,5.015644259031
Statistische Region Braunschweig,2014,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,3.72188139059305
Statistische Region Hannover,2014,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,7.37142857142857
