Year,Wirtschaftsabschnitte (WZ 2008) Zusammenfassungen,Geschlecht,Units,COMMENT_OBS,Value
2015,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,10.86446
2015,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,348.5413
2014,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,6.33607
2014,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,101.78074
2014,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,5.31538
2014,"Baugewerbe",Männer,in 1000,,43.50207
2014,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,54.19261
2014,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,32.27196
2014,"Gastgewerbe",Männer,in 1000,,22.15498
2014,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,29.38483
2014,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,29.18779
2014,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,10.49938
2014,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,335.4823
2013,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,5.63979
2013,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,97.88157
2013,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,5.0329
2013,"Baugewerbe",Männer,in 1000,,40.3535
2013,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,56.33749
2013,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,32.46283
2013,"Gastgewerbe",Männer,in 1000,,24.68042
2013,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,30.2764
2013,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,28.30402
2013,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,10.52907
2013,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,331.93194
2012,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Gesperrt,4.74845
2012,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,103.27019
2012,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Gesperrt,4.6591
2012,"Baugewerbe",Männer,in 1000,,36.89753
2012,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,42.78841
2012,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,30.84138
2012,"Gastgewerbe",Männer,in 1000,,21.6441
2012,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,30.43182
2012,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,27.84985
2012,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,10.02529
2012,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,314.28734
2011,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,6.99081
2011,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,97.08204
2011,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,6.25116
2011,"Baugewerbe",Männer,in 1000,,37.43239
2011,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,44.09932
2011,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,28.45287
2011,"Gastgewerbe",Männer,in 1000,,21.70217
2011,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,28.26149
2011,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,25.22802
2011,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,Statistisch unsicher,7.7126
2011,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,303.62559
2010,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,5.15707
2010,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,99.31678
2010,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Gesperrt,
2010,"Baugewerbe",Männer,in 1000,,34.97291
2010,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,44.27626
2010,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,28.7331
2010,"Gastgewerbe",Männer,in 1000,,22.54625
2010,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,30.43019
2010,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,30.26269
2010,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,Statistisch unsicher,8.6784
2010,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,309.77223
2024,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,4.51874
2024,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,47.10129
2024,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,2.07262
2024,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,6.49058
2024,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,63.07726
2024,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,17.78503
2024,"Gastgewerbe",Frauen,in 1000,,28.96745
2024,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,65.58038
2024,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,166.15283
2024,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,23.61283
2024,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,429.34171
2023,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,4.09153
2023,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,43.07412
2023,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,2.32738
2023,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,6.55758
2023,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,62.94426
2023,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,21.85175
2023,"Gastgewerbe",Frauen,in 1000,,26.78362
2023,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,59.1642
2023,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,149.73727
2023,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,23.0323
2023,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,403.31663
2022,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,4.94754
2022,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,47.12454
2022,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,2.28151
2022,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,7.65037
2022,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,63.26872
2022,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,18.28469
2022,"Gastgewerbe",Frauen,in 1000,,28.1961
2022,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,63.22455
2022,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,146.35162
2022,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,25.62721
2022,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,412.52029
2021,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Statistisch unsicher,5.74203
2021,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,44.90769
2021,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,2.42174
2021,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,5.49609
2021,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,57.13211
2021,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,17.33926
2021,"Gastgewerbe",Frauen,in 1000,,23.36508
2021,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,57.34877
2021,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,128.91737
2021,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,24.69152
2021,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,375.02
2019,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,3.32662
2019,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,43.81269
2019,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,1.97601
2019,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,7.38939
2019,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,60.60571
2019,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,12.73896
2019,"Gastgewerbe",Frauen,in 1000,,25.85134
2019,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,48.48909
2019,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,117.28995
2019,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,19.33703
2019,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,348.16636
2018,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,4.91233
2018,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,45.82994
2018,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,1.99579
2018,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,6.54735
2018,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,62.08959
2018,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,11.51253
2018,"Gastgewerbe",Frauen,in 1000,,26.75016
2018,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,46.75056
2018,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,113.60674
2018,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,19.54615
2018,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,345.1761
2017,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,3.06007
2017,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,41.60845
2017,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,1.7836
2017,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,6.47035
2017,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,60.12989
2017,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,12.60933
2017,"Gastgewerbe",Frauen,in 1000,,24.9421
2017,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,44.58303
2017,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,109.76472
2017,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,21.75512
2017,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,333.75469
2016,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,3.02813
2016,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,38.16291
2016,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,1.24347
2016,"Baugewerbe",Frauen,in 1000,Statistisch unsicher,5.593
2016,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,47.76935
2016,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,,10.64142
2016,"Gastgewerbe",Frauen,in 1000,,22.56588
2016,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,41.25745
2016,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,92.13542
2016,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,17.92594
2016,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,287.50335
2015,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,2.54446
2015,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,34.86878
2015,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,1.75916
2015,"Baugewerbe",Frauen,in 1000,Gesperrt,3.22179
2015,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,43.62347
2015,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,Statistisch unsicher,9.30167
2015,"Gastgewerbe",Frauen,in 1000,,23.73878
2015,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,38.96606
2015,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,88.92956
2015,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,17.81952
2015,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,268.76833
2014,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,3.28202
2014,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,32.59796
2014,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,1.54582
2014,"Baugewerbe",Frauen,in 1000,Gesperrt,3.6626
2014,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,44.21676
2014,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,Statistisch unsicher,9.52186
2014,"Gastgewerbe",Frauen,in 1000,,21.42121
2014,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,38.12586
2014,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,86.62658
2014,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,18.08278
2014,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,263.9347
2013,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,2.4825
2013,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,31.45949
2013,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,2.44398
2013,"Baugewerbe",Frauen,in 1000,Gesperrt,4.06739
2013,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,45.74917
2013,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,Statistisch unsicher,9.99216
2013,"Gastgewerbe",Frauen,in 1000,,23.15866
2013,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,40.84127
2013,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,83.31858
2013,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,19.79946
2013,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,269.04737
2012,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,2.3545
2012,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,28.39717
2012,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,2.04855
2012,"Baugewerbe",Frauen,in 1000,Gesperrt,3.53216
2012,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,40.6141
2012,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,Statistisch unsicher,8.66823
2012,"Gastgewerbe",Frauen,in 1000,,23.70417
2012,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,34.40623
2012,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,79.87762
2012,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,21.0427
2012,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,251.34277
2011,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,2.84619
2011,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,30.17259
2011,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,1.18674
2011,"Baugewerbe",Frauen,in 1000,Gesperrt,3.95919
2011,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,42.3938
2011,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,Statistisch unsicher,7.19041
2011,"Gastgewerbe",Frauen,in 1000,,21.75833
2011,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,37.50856
2011,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,76.42837
2011,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,16.17919
2011,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,245.06874
2010,"Land- und Forstwirtschaft, Fischerei",Frauen,in 1000,Gesperrt,
2010,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Frauen,in 1000,,30.53241
2010,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Frauen,in 1000,Gesperrt,
2010,"Baugewerbe",Frauen,in 1000,Gesperrt,
2010,"Handel, Instandhaltung und Reparatur von Kfz",Frauen,in 1000,,38.77542
2010,"Verkehr und Lagerei; Information und Kommunikation",Frauen,in 1000,Statistisch unsicher,7.50441
2010,"Gastgewerbe",Frauen,in 1000,,20.54298
2010,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Frauen,in 1000,,35.65829
2010,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Frauen,in 1000,,79.9822
2010,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Frauen,in 1000,,17.19898
2010,"Insgesamt (inkl. sonstiger Abschnitte)",Frauen,in 1000,,243.49507
