AGS,Year,Gebietseinheit,Aufenthaltsdauer,Geschlecht,GeoCode,Value
241001,2010,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,3540
241999,2010,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,1128
251,2010,"Diepholz",unter 1,Insgesamt,K03251,278
252,2010,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,471
254,2010,"Hildesheim",unter 1,Insgesamt,K03254,669
255,2010,"Holzminden",unter 1,Insgesamt,K03255,100
256,2010,"Nienburg (Weser)",unter 1,Insgesamt,K03256,287
257,2010,"Schaumburg",unter 1,Insgesamt,K03257,227
2,2010,"Statistische Region Hannover",unter 1,Insgesamt,K032,6700
351,2010,"Celle",unter 1,Insgesamt,K03351,478
352,2010,"Cuxhaven",unter 1,Insgesamt,K03352,303
353,2010,"Harburg",unter 1,Insgesamt,K03353,500
354,2010,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,138
355,2010,"Lüneburg",unter 1,Insgesamt,K03355,306
356,2010,"Osterholz",unter 1,Insgesamt,K03356,168
357,2010,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,312
358,2010,"Heidekreis",unter 1,Insgesamt,K03358,367
359,2010,"Stade",unter 1,Insgesamt,K03359,490
360,2010,"Uelzen",unter 1,Insgesamt,K03360,127
361,2010,"Verden",unter 1,Insgesamt,K03361,212
3,2010,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,3401
401,2010,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,222
402,2010,"Emden, Stadt",unter 1,Insgesamt,K03402,216
403,2010,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,924
404,2010,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,881
405,2010,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,569
451,2010,"Ammerland",unter 1,Insgesamt,K03451,231
452,2010,"Aurich",unter 1,Insgesamt,K03452,415
453,2010,"Cloppenburg",unter 1,Insgesamt,K03453,1087
454,2010,"Emsland",unter 1,Insgesamt,K03454,1870
455,2010,"Friesland",unter 1,Insgesamt,K03455,118
456,2010,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,768
457,2010,"Leer",unter 1,Insgesamt,K03457,684
458,2010,"Oldenburg",unter 1,Insgesamt,K03458,484
459,2010,"Osnabrück",unter 1,Insgesamt,K03459,1082
460,2010,"Vechta",unter 1,Insgesamt,K03460,947
461,2010,"Wesermarsch",unter 1,Insgesamt,K03461,317
462,2010,"Wittmund",unter 1,Insgesamt,K03462,127
4,2010,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,10942
0,2010,"Niedersachsen",unter 1,Insgesamt,,26213
101,2009,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,1305
102,2009,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,203
103,2009,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,569
151,2009,"Gifhorn",unter 1,Insgesamt,K03151,220
153,2009,"Goslar",unter 1,Insgesamt,K03153,377
154,2009,"Helmstedt",unter 1,Insgesamt,K03154,108
155,2009,"Northeim",unter 1,Insgesamt,K03155,158
157,2009,"Peine",unter 1,Insgesamt,K03157,194
158,2009,"Wolfenbüttel",unter 1,Insgesamt,K03158,218
159,2009,"Göttingen",unter 1,Insgesamt,K03159,1565
1,2009,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,4917
241,2009,"Region Hannover",unter 1,Insgesamt,K03241,3974
241001,2009,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,3094
241999,2009,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,880
251,2009,"Diepholz",unter 1,Insgesamt,K03251,276
252,2009,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,343
254,2009,"Hildesheim",unter 1,Insgesamt,K03254,580
255,2009,"Holzminden",unter 1,Insgesamt,K03255,54
256,2009,"Nienburg (Weser)",unter 1,Insgesamt,K03256,186
257,2009,"Schaumburg",unter 1,Insgesamt,K03257,219
2,2009,"Statistische Region Hannover",unter 1,Insgesamt,K032,5632
351,2009,"Celle",unter 1,Insgesamt,K03351,421
352,2009,"Cuxhaven",unter 1,Insgesamt,K03352,330
353,2009,"Harburg",unter 1,Insgesamt,K03353,469
354,2009,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,126
355,2009,"Lüneburg",unter 1,Insgesamt,K03355,355
356,2009,"Osterholz",unter 1,Insgesamt,K03356,119
357,2009,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,279
358,2009,"Heidekreis",unter 1,Insgesamt,K03358,342
359,2009,"Stade",unter 1,Insgesamt,K03359,427
360,2009,"Uelzen",unter 1,Insgesamt,K03360,107
361,2009,"Verden",unter 1,Insgesamt,K03361,158
3,2009,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,3133
401,2009,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,211
402,2009,"Emden, Stadt",unter 1,Insgesamt,K03402,151
403,2009,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,853
404,2009,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,778
405,2009,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,222
451,2009,"Ammerland",unter 1,Insgesamt,K03451,203
452,2009,"Aurich",unter 1,Insgesamt,K03452,207
453,2009,"Cloppenburg",unter 1,Insgesamt,K03453,916
454,2009,"Emsland",unter 1,Insgesamt,K03454,1809
455,2009,"Friesland",unter 1,Insgesamt,K03455,114
456,2009,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,878
457,2009,"Leer",unter 1,Insgesamt,K03457,614
458,2009,"Oldenburg",unter 1,Insgesamt,K03458,442
459,2009,"Osnabrück",unter 1,Insgesamt,K03459,871
460,2009,"Vechta",unter 1,Insgesamt,K03460,848
461,2009,"Wesermarsch",unter 1,Insgesamt,K03461,302
462,2009,"Wittmund",unter 1,Insgesamt,K03462,92
4,2009,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,9511
0,2009,"Niedersachsen",unter 1,Insgesamt,,23193
101,2008,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,1223
102,2008,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,218
103,2008,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,505
151,2008,"Gifhorn",unter 1,Insgesamt,K03151,173
153,2008,"Goslar",unter 1,Insgesamt,K03153,408
154,2008,"Helmstedt",unter 1,Insgesamt,K03154,97
155,2008,"Northeim",unter 1,Insgesamt,K03155,154
157,2008,"Peine",unter 1,Insgesamt,K03157,143
158,2008,"Wolfenbüttel",unter 1,Insgesamt,K03158,171
159,2008,"Göttingen",unter 1,Insgesamt,K03159,1217
1,2008,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,4309
241,2008,"Region Hannover",unter 1,Insgesamt,K03241,3723
241001,2008,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,2918
241999,2008,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,805
251,2008,"Diepholz",unter 1,Insgesamt,K03251,253
252,2008,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,272
254,2008,"Hildesheim",unter 1,Insgesamt,K03254,575
255,2008,"Holzminden",unter 1,Insgesamt,K03255,60
256,2008,"Nienburg (Weser)",unter 1,Insgesamt,K03256,220
257,2008,"Schaumburg",unter 1,Insgesamt,K03257,181
2,2008,"Statistische Region Hannover",unter 1,Insgesamt,K032,5284
351,2008,"Celle",unter 1,Insgesamt,K03351,397
352,2008,"Cuxhaven",unter 1,Insgesamt,K03352,301
353,2008,"Harburg",unter 1,Insgesamt,K03353,321
354,2008,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,90
355,2008,"Lüneburg",unter 1,Insgesamt,K03355,347
356,2008,"Osterholz",unter 1,Insgesamt,K03356,129
357,2008,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,305
358,2008,"Heidekreis",unter 1,Insgesamt,K03358,196
359,2008,"Stade",unter 1,Insgesamt,K03359,405
360,2008,"Uelzen",unter 1,Insgesamt,K03360,92
361,2008,"Verden",unter 1,Insgesamt,K03361,166
3,2008,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,2749
401,2008,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,118
402,2008,"Emden, Stadt",unter 1,Insgesamt,K03402,181
403,2008,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,816
404,2008,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,763
405,2008,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,181
451,2008,"Ammerland",unter 1,Insgesamt,K03451,162
452,2008,"Aurich",unter 1,Insgesamt,K03452,174
453,2008,"Cloppenburg",unter 1,Insgesamt,K03453,885
454,2008,"Emsland",unter 1,Insgesamt,K03454,2251
455,2008,"Friesland",unter 1,Insgesamt,K03455,94
456,2008,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,1130
457,2008,"Leer",unter 1,Insgesamt,K03457,843
458,2008,"Oldenburg",unter 1,Insgesamt,K03458,255
459,2008,"Osnabrück",unter 1,Insgesamt,K03459,949
460,2008,"Vechta",unter 1,Insgesamt,K03460,737
461,2008,"Wesermarsch",unter 1,Insgesamt,K03461,275
462,2008,"Wittmund",unter 1,Insgesamt,K03462,66
4,2008,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,9880
0,2008,"Niedersachsen",unter 1,Insgesamt,,22222
101,2007,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,1357
102,2007,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,150
103,2007,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,488
151,2007,"Gifhorn",unter 1,Insgesamt,K03151,211
153,2007,"Goslar",unter 1,Insgesamt,K03153,424
154,2007,"Helmstedt",unter 1,Insgesamt,K03154,91
155,2007,"Northeim",unter 1,Insgesamt,K03155,188
157,2007,"Peine",unter 1,Insgesamt,K03157,180
158,2007,"Wolfenbüttel",unter 1,Insgesamt,K03158,130
159,2007,"Göttingen",unter 1,Insgesamt,K03159,1239
1,2007,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,4458
241,2007,"Region Hannover",unter 1,Insgesamt,K03241,3974
241001,2007,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,3154
241999,2007,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,820
251,2007,"Diepholz",unter 1,Insgesamt,K03251,377
252,2007,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,273
254,2007,"Hildesheim",unter 1,Insgesamt,K03254,584
255,2007,"Holzminden",unter 1,Insgesamt,K03255,61
256,2007,"Nienburg (Weser)",unter 1,Insgesamt,K03256,157
257,2007,"Schaumburg",unter 1,Insgesamt,K03257,197
2,2007,"Statistische Region Hannover",unter 1,Insgesamt,K032,5623
351,2007,"Celle",unter 1,Insgesamt,K03351,271
352,2007,"Cuxhaven",unter 1,Insgesamt,K03352,321
353,2007,"Harburg",unter 1,Insgesamt,K03353,234
354,2007,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,75
355,2007,"Lüneburg",unter 1,Insgesamt,K03355,371
356,2007,"Osterholz",unter 1,Insgesamt,K03356,155
357,2007,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,328
358,2007,"Heidekreis",unter 1,Insgesamt,K03358,266
359,2007,"Stade",unter 1,Insgesamt,K03359,338
360,2007,"Uelzen",unter 1,Insgesamt,K03360,116
361,2007,"Verden",unter 1,Insgesamt,K03361,187
3,2007,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,2662
401,2007,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,145
402,2007,"Emden, Stadt",unter 1,Insgesamt,K03402,210
403,2007,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,864
404,2007,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,751
405,2007,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,217
451,2007,"Ammerland",unter 1,Insgesamt,K03451,194
452,2007,"Aurich",unter 1,Insgesamt,K03452,238
453,2007,"Cloppenburg",unter 1,Insgesamt,K03453,801
454,2007,"Emsland",unter 1,Insgesamt,K03454,2317
455,2007,"Friesland",unter 1,Insgesamt,K03455,86
456,2007,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,970
457,2007,"Leer",unter 1,Insgesamt,K03457,869
458,2007,"Oldenburg",unter 1,Insgesamt,K03458,289
459,2007,"Osnabrück",unter 1,Insgesamt,K03459,720
460,2007,"Vechta",unter 1,Insgesamt,K03460,777
461,2007,"Wesermarsch",unter 1,Insgesamt,K03461,229
462,2007,"Wittmund",unter 1,Insgesamt,K03462,65
4,2007,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,9742
0,2007,"Niedersachsen",unter 1,Insgesamt,,22485
101,2006,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,1525
102,2006,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,178
103,2006,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,508
151,2006,"Gifhorn",unter 1,Insgesamt,K03151,228
153,2006,"Goslar",unter 1,Insgesamt,K03153,403
154,2006,"Helmstedt",unter 1,Insgesamt,K03154,129
155,2006,"Northeim",unter 1,Insgesamt,K03155,178
157,2006,"Peine",unter 1,Insgesamt,K03157,173
158,2006,"Wolfenbüttel",unter 1,Insgesamt,K03158,124
159,2006,"Göttingen",unter 1,Insgesamt,K03159,1270
1,2006,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,4716
241,2006,"Region Hannover",unter 1,Insgesamt,K03241,4006
241001,2006,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,3033
241999,2006,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,973
251,2006,"Diepholz",unter 1,Insgesamt,K03251,285
252,2006,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,297
254,2006,"Hildesheim",unter 1,Insgesamt,K03254,577
255,2006,"Holzminden",unter 1,Insgesamt,K03255,66
256,2006,"Nienburg (Weser)",unter 1,Insgesamt,K03256,205
257,2006,"Schaumburg",unter 1,Insgesamt,K03257,212
2,2006,"Statistische Region Hannover",unter 1,Insgesamt,K032,5648
351,2006,"Celle",unter 1,Insgesamt,K03351,309
352,2006,"Cuxhaven",unter 1,Insgesamt,K03352,365
353,2006,"Harburg",unter 1,Insgesamt,K03353,261
354,2006,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,60
355,2006,"Lüneburg",unter 1,Insgesamt,K03355,401
356,2006,"Osterholz",unter 1,Insgesamt,K03356,148
357,2006,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,468
358,2006,"Heidekreis",unter 1,Insgesamt,K03358,192
359,2006,"Stade",unter 1,Insgesamt,K03359,380
360,2006,"Uelzen",unter 1,Insgesamt,K03360,105
361,2006,"Verden",unter 1,Insgesamt,K03361,243
3,2006,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,2932
401,2006,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,155
402,2006,"Emden, Stadt",unter 1,Insgesamt,K03402,198
403,2006,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,719
404,2006,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,749
405,2006,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,152
451,2006,"Ammerland",unter 1,Insgesamt,K03451,174
452,2006,"Aurich",unter 1,Insgesamt,K03452,287
453,2006,"Cloppenburg",unter 1,Insgesamt,K03453,681
454,2006,"Emsland",unter 1,Insgesamt,K03454,2036
455,2006,"Friesland",unter 1,Insgesamt,K03455,85
456,2006,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,1127
457,2006,"Leer",unter 1,Insgesamt,K03457,650
458,2006,"Oldenburg",unter 1,Insgesamt,K03458,267
459,2006,"Osnabrück",unter 1,Insgesamt,K03459,430
460,2006,"Vechta",unter 1,Insgesamt,K03460,662
461,2006,"Wesermarsch",unter 1,Insgesamt,K03461,186
462,2006,"Wittmund",unter 1,Insgesamt,K03462,58
4,2006,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,8616
0,2006,"Niedersachsen",unter 1,Insgesamt,,21912
101,2005,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,1438
102,2005,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,285
103,2005,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,458
151,2005,"Gifhorn",unter 1,Insgesamt,K03151,257
153,2005,"Goslar",unter 1,Insgesamt,K03153,482
154,2005,"Helmstedt",unter 1,Insgesamt,K03154,121
155,2005,"Northeim",unter 1,Insgesamt,K03155,201
157,2005,"Peine",unter 1,Insgesamt,K03157,226
158,2005,"Wolfenbüttel",unter 1,Insgesamt,K03158,156
159,2005,"Göttingen",unter 1,Insgesamt,K03159,1447
1,2005,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,5071
241,2005,"Region Hannover",unter 1,Insgesamt,K03241,3826
241001,2005,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,2718
241999,2005,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,1108
251,2005,"Diepholz",unter 1,Insgesamt,K03251,339
252,2005,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,334
254,2005,"Hildesheim",unter 1,Insgesamt,K03254,637
255,2005,"Holzminden",unter 1,Insgesamt,K03255,99
256,2005,"Nienburg (Weser)",unter 1,Insgesamt,K03256,201
257,2005,"Schaumburg",unter 1,Insgesamt,K03257,228
2,2005,"Statistische Region Hannover",unter 1,Insgesamt,K032,5664
351,2005,"Celle",unter 1,Insgesamt,K03351,300
352,2005,"Cuxhaven",unter 1,Insgesamt,K03352,264
353,2005,"Harburg",unter 1,Insgesamt,K03353,324
354,2005,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,72
355,2005,"Lüneburg",unter 1,Insgesamt,K03355,343
356,2005,"Osterholz",unter 1,Insgesamt,K03356,149
357,2005,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,371
358,2005,"Heidekreis",unter 1,Insgesamt,K03358,242
359,2005,"Stade",unter 1,Insgesamt,K03359,343
360,2005,"Uelzen",unter 1,Insgesamt,K03360,154
361,2005,"Verden",unter 1,Insgesamt,K03361,238
3,2005,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,2800
401,2005,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,201
402,2005,"Emden, Stadt",unter 1,Insgesamt,K03402,255
403,2005,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,875
404,2005,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,702
405,2005,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,152
451,2005,"Ammerland",unter 1,Insgesamt,K03451,150
452,2005,"Aurich",unter 1,Insgesamt,K03452,259
453,2005,"Cloppenburg",unter 1,Insgesamt,K03453,674
454,2005,"Emsland",unter 1,Insgesamt,K03454,1402
455,2005,"Friesland",unter 1,Insgesamt,K03455,100
456,2005,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,878
457,2005,"Leer",unter 1,Insgesamt,K03457,726
458,2005,"Oldenburg",unter 1,Insgesamt,K03458,262
459,2005,"Osnabrück",unter 1,Insgesamt,K03459,516
460,2005,"Vechta",unter 1,Insgesamt,K03460,644
461,2005,"Wesermarsch",unter 1,Insgesamt,K03461,305
462,2005,"Wittmund",unter 1,Insgesamt,K03462,66
4,2005,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,8167
0,2005,"Niedersachsen",unter 1,Insgesamt,,21702
101,2004,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,1359
102,2004,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,266
103,2004,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,589
151,2004,"Gifhorn",unter 1,Insgesamt,K03151,279
153,2004,"Goslar",unter 1,Insgesamt,K03153,507
154,2004,"Helmstedt",unter 1,Insgesamt,K03154,144
155,2004,"Northeim",unter 1,Insgesamt,K03155,224
157,2004,"Peine",unter 1,Insgesamt,K03157,188
158,2004,"Wolfenbüttel",unter 1,Insgesamt,K03158,233
159,2004,"Göttingen",unter 1,Insgesamt,K03159,1511
1,2004,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,5902
241,2004,"Region Hannover",unter 1,Insgesamt,K03241,4044
241001,2004,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,2873
241999,2004,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,1171
251,2004,"Diepholz",unter 1,Insgesamt,K03251,378
252,2004,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,359
254,2004,"Hildesheim",unter 1,Insgesamt,K03254,714
255,2004,"Holzminden",unter 1,Insgesamt,K03255,111
256,2004,"Nienburg (Weser)",unter 1,Insgesamt,K03256,236
257,2004,"Schaumburg",unter 1,Insgesamt,K03257,284
2,2004,"Statistische Region Hannover",unter 1,Insgesamt,K032,6126
351,2004,"Celle",unter 1,Insgesamt,K03351,341
352,2004,"Cuxhaven",unter 1,Insgesamt,K03352,371
353,2004,"Harburg",unter 1,Insgesamt,K03353,454
354,2004,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,106
355,2004,"Lüneburg",unter 1,Insgesamt,K03355,426
356,2004,"Osterholz",unter 1,Insgesamt,K03356,161
357,2004,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,396
358,2004,"Heidekreis",unter 1,Insgesamt,K03358,252
359,2004,"Stade",unter 1,Insgesamt,K03359,364
360,2004,"Uelzen",unter 1,Insgesamt,K03360,197
361,2004,"Verden",unter 1,Insgesamt,K03361,198
3,2004,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,3266
401,2004,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,174
402,2004,"Emden, Stadt",unter 1,Insgesamt,K03402,242
403,2004,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,630
404,2004,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,982
405,2004,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,211
451,2004,"Ammerland",unter 1,Insgesamt,K03451,173
452,2004,"Aurich",unter 1,Insgesamt,K03452,244
453,2004,"Cloppenburg",unter 1,Insgesamt,K03453,472
454,2004,"Emsland",unter 1,Insgesamt,K03454,1347
455,2004,"Friesland",unter 1,Insgesamt,K03455,111
456,2004,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,809
457,2004,"Leer",unter 1,Insgesamt,K03457,486
458,2004,"Oldenburg",unter 1,Insgesamt,K03458,248
459,2004,"Osnabrück",unter 1,Insgesamt,K03459,554
460,2004,"Vechta",unter 1,Insgesamt,K03460,647
461,2004,"Wesermarsch",unter 1,Insgesamt,K03461,216
462,2004,"Wittmund",unter 1,Insgesamt,K03462,100
4,2004,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,8133
0,2004,"Niedersachsen",unter 1,Insgesamt,,23427
101,2020,"Braunschweig, Stadt",1 - 4,Insgesamt,K03101,6020
102,2020,"Salzgitter, Stadt",1 - 4,Insgesamt,K03102,4230
103,2020,"Wolfsburg, Stadt",1 - 4,Insgesamt,K03103,4000
151,2020,"Gifhorn",1 - 4,Insgesamt,K03151,2750
153,2020,"Goslar",1 - 4,Insgesamt,K03153,3485
154,2020,"Helmstedt",1 - 4,Insgesamt,K03154,1225
155,2020,"Northeim",1 - 4,Insgesamt,K03155,1835
157,2020,"Peine",1 - 4,Insgesamt,K03157,2290
158,2020,"Wolfenbüttel",1 - 4,Insgesamt,K03158,1465
159,2020,"Göttingen",1 - 4,Insgesamt,K03159,7375
1,2020,"Statistische Region Braunschweig",1 - 4,Insgesamt,K031,34680
241,2020,"Region Hannover",1 - 4,Insgesamt,K03241,32050
241001,2020,"dav. Hannover, Lhst.",1 - 4,Insgesamt,K03241001,19565
241999,2020,"dav. Hannover, Umland",1 - 4,Insgesamt,K03241999,12485
251,2020,"Diepholz",1 - 4,Insgesamt,K03251,4030
252,2020,"Hameln-Pyrmont",1 - 4,Insgesamt,K03252,2950
254,2020,"Hildesheim",1 - 4,Insgesamt,K03254,4980
255,2020,"Holzminden",1 - 4,Insgesamt,K03255,835
256,2020,"Nienburg (Weser)",1 - 4,Insgesamt,K03256,2020
257,2020,"Schaumburg",1 - 4,Insgesamt,K03257,2880
2,2020,"Statistische Region Hannover",1 - 4,Insgesamt,K032,49740
351,2020,"Celle",1 - 4,Insgesamt,K03351,2580
352,2020,"Cuxhaven",1 - 4,Insgesamt,K03352,2210
353,2020,"Harburg",1 - 4,Insgesamt,K03353,4625
354,2020,"Lüchow-Dannenberg",1 - 4,Insgesamt,K03354,655
355,2020,"Lüneburg",1 - 4,Insgesamt,K03355,2500
356,2020,"Osterholz",1 - 4,Insgesamt,K03356,1105
357,2020,"Rotenburg (Wümme)",1 - 4,Insgesamt,K03357,2550
358,2020,"Heidekreis",1 - 4,Insgesamt,K03358,2625
359,2020,"Stade",1 - 4,Insgesamt,K03359,4645
360,2020,"Uelzen",1 - 4,Insgesamt,K03360,1355
361,2020,"Verden",1 - 4,Insgesamt,K03361,2035
3,2020,"Statistische Region Lüneburg",1 - 4,Insgesamt,K033,26885
401,2020,"Delmenhorst, Stadt",1 - 4,Insgesamt,K03401,2800
402,2020,"Emden, Stadt",1 - 4,Insgesamt,K03402,1410
403,2020,"Oldenburg (Oldb), Stadt",1 - 4,Insgesamt,K03403,4170
404,2020,"Osnabrück, Stadt",1 - 4,Insgesamt,K03404,4985
405,2020,"Wilhelmshaven, Stadt",1 - 4,Insgesamt,K03405,1940
451,2020,"Ammerland",1 - 4,Insgesamt,K03451,1860
452,2020,"Aurich",1 - 4,Insgesamt,K03452,2485
453,2020,"Cloppenburg",1 - 4,Insgesamt,K03453,5320
454,2020,"Emsland",1 - 4,Insgesamt,K03454,10710
455,2020,"Friesland",1 - 4,Insgesamt,K03455,775
456,2020,"Grafschaft Bentheim",1 - 4,Insgesamt,K03456,3820
457,2020,"Leer",1 - 4,Insgesamt,K03457,3530
458,2020,"Oldenburg",1 - 4,Insgesamt,K03458,3275
459,2020,"Osnabrück",1 - 4,Insgesamt,K03459,7665
460,2020,"Vechta",1 - 4,Insgesamt,K03460,4635
461,2020,"Wesermarsch",1 - 4,Insgesamt,K03461,1465
462,2020,"Wittmund",1 - 4,Insgesamt,K03462,735
4,2020,"Statistische Region Weser-Ems",1 - 4,Insgesamt,K034,61580
0,2020,"Niedersachsen",1 - 4,Insgesamt,,172885
101,2019,"Braunschweig, Stadt",1 - 4,Insgesamt,K03101,6360
102,2019,"Salzgitter, Stadt",1 - 4,Insgesamt,K03102,5025
103,2019,"Wolfsburg, Stadt",1 - 4,Insgesamt,K03103,3865
151,2019,"Gifhorn",1 - 4,Insgesamt,K03151,3135
153,2019,"Goslar",1 - 4,Insgesamt,K03153,3975
154,2019,"Helmstedt",1 - 4,Insgesamt,K03154,1350
155,2019,"Northeim",1 - 4,Insgesamt,K03155,2085
157,2019,"Peine",1 - 4,Insgesamt,K03157,2470
158,2019,"Wolfenbüttel",1 - 4,Insgesamt,K03158,1720
159,2019,"Göttingen",1 - 4,Insgesamt,K03159,7995
1,2019,"Statistische Region Braunschweig",1 - 4,Insgesamt,K031,37980
241,2019,"Region Hannover",1 - 4,Insgesamt,K03241,35965
241001,2019,"dav. Hannover, Lhst.",1 - 4,Insgesamt,K03241001,21480
241999,2019,"dav. Hannover, Umland",1 - 4,Insgesamt,K03241999,14485
251,2019,"Diepholz",1 - 4,Insgesamt,K03251,4760
252,2019,"Hameln-Pyrmont",1 - 4,Insgesamt,K03252,3310
254,2019,"Hildesheim",1 - 4,Insgesamt,K03254,5360
255,2019,"Holzminden",1 - 4,Insgesamt,K03255,830
256,2019,"Nienburg (Weser)",1 - 4,Insgesamt,K03256,2435
