Year,Fächergruppe,Nationalität,Geschlecht,Units,Value,,,
2019,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,13363,,,
2020,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1858,,,
2020,"Sport",Insgesamt,Frauen,Anzahl,116,,,
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,5922,,,
2020,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1304,,,
2020,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1003,,,
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,885,,,
2020,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1359,,,
2020,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,611,,,
2020,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,19,,,
2020,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,13077,,,
2021,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1883,,,
2021,"Sport",Insgesamt,Frauen,Anzahl,132,,,
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,6296,,,
2021,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1333,,,
2021,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1190,,,
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,703,,,
2021,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1547,,,
2021,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,605,,,
2021,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,21,,,
2021,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,13710,,,
2022,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1834,,,
2022,"Sport",Insgesamt,Frauen,Anzahl,104,,,
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,5992,,,
2022,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1283,,,
2022,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1067,,,
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,639,,,
2022,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1382,,,
2022,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,642,,,
2022,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,21,,,
2022,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12964,,,
2023,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1620,,,
2023,"Sport",Insgesamt,Frauen,Anzahl,105,,,
2023,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,5487,,,
2023,"Mathematik, Naturwissenschaften",Insgesamt,Frauen,Anzahl,1279,,,
2023,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1129,,,
2023,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,619,,,
2023,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1305,,,
2023,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,597,,,
2023,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,11,,,
2023,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12152,,,
2024,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1619,,,
2024,"Sport",Insgesamt,Frauen,Anzahl,96,,,
2024,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,5438,,,
2024,"Mathematik, Naturwissenschaften",Insgesamt,Frauen,Anzahl,1247,,,
2024,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1184,,,
2024,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,672,,,
2024,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1241,,,
2024,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,569,,,
2024,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,23,,,
2024,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12089,,,
2013,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,3685,,,
2013,"Sport",Deutsche,Insgesamt,Anzahl,277,,,
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,7071,,,
2013,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2842,,,
2013,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1168,,,
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1064,,,
2013,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4872,,,
2013,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,964,,,
2013,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,1,,,
2013,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,21944,,,
2014,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,3342,,,
2014,"Sport",Deutsche,Insgesamt,Anzahl,252,,,
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,6712,,,
2014,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,3059,,,
2014,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1197,,,
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1048,,,
2014,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4710,,,
2014,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,865,,,
2014,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,,,,
2014,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,21185,,,
2015,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,3360,,,
2015,"Sport",Deutsche,Insgesamt,Anzahl,282,,,
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,7326,,,
2015,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,3224,,,
2015,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1216,,,
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1191,,,
2015,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4789,,,
2015,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,920,,,
2015,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,4,,,
2015,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22312,,,
2016,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2378,,,
2016,"Sport",Deutsche,Insgesamt,Anzahl,262,,,
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8557,,,
2016,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2113,,,
2016,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1279,,,
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1171,,,
2016,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5384,,,
2016,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,894,,,
2016,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,16,,,
2016,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22054,,,
2017,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2356,,,
2017,"Sport",Deutsche,Insgesamt,Anzahl,247,,,
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8982,,,
2017,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2092,,,
2017,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1305,,,
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1216,,,
2017,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5215,,,
2017,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,883,,,
2017,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,25,,,
2017,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22321,,,
2018,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2381,,,
2018,"Sport",Deutsche,Insgesamt,Anzahl,255,,,
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9171,,,
2018,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2229,,,
2018,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1325,,,
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1238,,,
2018,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5314,,,
2018,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,803,,,
2018,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,14,,,
2018,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22730,,,
2019,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2412,,,
2019,"Sport",Deutsche,Insgesamt,Anzahl,240,,,
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9376,,,
2019,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2284,,,
2019,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1365,,,
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1302,,,
2019,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5354,,,
2019,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,882,,,
2019,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,27,,,
2019,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,23242,,,
2020,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2331,,,
2020,"Sport",Deutsche,Insgesamt,Anzahl,237,,,
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8967,,,
2020,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2176,,,
2020,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1294,,,
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1396,,,
2020,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4961,,,
2020,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,828,,,
2020,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,28,,,
2020,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22218,,,
2021,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2317,,,
2021,"Sport",Deutsche,Insgesamt,Anzahl,242,,,
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9610,,,
2021,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2173,,,
2021,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1508,,,
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1227,,,
2021,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5394,,,
2021,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,793,,,
2021,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,28,,,
2021,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,23292,,,
2022,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2303,,,
2022,"Sport",Deutsche,Insgesamt,Anzahl,208,,,
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9026,,,
2022,"Mathematik, Natruwissenschaften",Deutsche,Insgesamt,Anzahl,2081,,,
2022,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1394,,,
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1137,,,
2022,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4930,,,
2022,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,833,,,
2022,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,22,,,
2022,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,21934,,,
2023,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2057,,,
2023,"Sport",Deutsche,Insgesamt,Anzahl,214,,,
2023,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8218,,,
2023,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2080,,,
2023,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1417,,,
2023,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1105,,,
2023,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4696,,,
2023,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,771,,,
2023,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,18,,,
2023,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,20576,,,
2024,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2079,,,
2024,"Sport",Deutsche,Insgesamt,Anzahl,219,,,
2024,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8352,,,
2024,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2035,,,
2024,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1514,,,
2024,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1185,,,
2024,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4550,,,
2024,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,752,,,
2024,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,33,,,
2024,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,20719,,,
2013,"Geisteswissenschaften",Deutsche,Männer,Anzahl,741,,,
2013,"Sport",Deutsche,Männer,Anzahl,129,,,
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,2898,,,
2013,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,1660,,,
2013,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,339,,,
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,465,,,
2013,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3801,,,
2013,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,267,,,
2013,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,1,,,
2013,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10301,,,
2014,"Geisteswissenschaften",Deutsche,Männer,Anzahl,687,,,
2014,"Sport",Deutsche,Männer,Anzahl,97,,,
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,2781,,,
2014,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,1635,,,
2014,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,332,,,
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,479,,,
2014,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3739,,,
2014,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,243,,,
2014,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,,,,
2014,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9993,,,
2015,"Geisteswissenschaften",Deutsche,Männer,Anzahl,659,,,
2015,"Sport",Deutsche,Männer,Anzahl,140,,,
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3016,,,
2015,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,1857,,,
2015,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,310,,,
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,574,,,
2015,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3763,,,
2015,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,284,,,
2015,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,3,,,
2015,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10606,,,
2016,"Geisteswissenschaften",Deutsche,Männer,Anzahl,575,,,
2016,"Sport",Deutsche,Männer,Anzahl,147,,,
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3221,,,
2016,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,944,,,
2016,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,322,,,
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,561,,,
2016,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4301,,,
2016,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,268,,,
2016,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,4,,,
2016,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10343,,,
2017,"Geisteswissenschaften",Deutsche,Männer,Anzahl,543,,,
2017,"Sport",Deutsche,Männer,Anzahl,132,,,
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3325,,,
2017,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,918,,,
2017,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,322,,,
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,576,,,
2017,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4088,,,
2017,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,287,,,
2017,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,13,,,
2017,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10204,,,
2018,"Geisteswissenschaften",Deutsche,Männer,Anzahl,554,,,
2018,"Sport",Deutsche,Männer,Anzahl,131,,,
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3429,,,
2018,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,1018,,,
2018,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,350,,,
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,618,,,
2018,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4221,,,
2018,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,259,,,
2018,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,6,,,
2018,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10586,,,
2019,"Geisteswissenschaften",Deutsche,Männer,Anzahl,585,,,
2019,"Sport",Deutsche,Männer,Anzahl,118,,,
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3402,,,
2019,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,987,,,
2019,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,337,,,
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,589,,,
2019,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4147,,,
2019,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,292,,,
2019,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,11,,,
2019,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10468,,,
2020,"Geisteswissenschaften",Deutsche,Männer,Anzahl,538,,,
2020,"Sport",Deutsche,Männer,Anzahl,121,,,
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3243,,,
2020,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,916,,,
2020,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,319,,,
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,551,,,
2020,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3769,,,
2020,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,275,,,
2020,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,9,,,
2020,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9741,,,
2021,"Geisteswissenschaften",Deutsche,Männer,Anzahl,511,,,
2021,"Sport",Deutsche,Männer,Anzahl,112,,,
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3528,,,
2021,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,902,,,
2021,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,354,,,
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,546,,,
2021,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4024,,,
2021,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,234,,,
2021,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,7,,,
2021,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10218,,,
2022,"Geisteswissenschaften",Deutsche,Männer,Anzahl,525,,,
2022,"Sport",Deutsche,Männer,Anzahl,104,,,
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3255,,,
2022,"Mathematik, Natruwissenschaften",Deutsche,Männer,Anzahl,853,,,
2022,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,374,,,
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,523,,,
2022,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3737,,,
2022,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,262,,,
2022,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,2,,,
2022,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9635,,,
2023,"Geisteswissenschaften",Deutsche,Männer,Anzahl,493,,,
2023,"Sport",Deutsche,Männer,Anzahl,110,,,
2023,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,2918,,,
2023,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,857,,,
2023,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,333,,,
2023,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,512,,,
2023,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3562,,,
2023,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,221,,,
2023,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,8,,,
2023,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9014,,,
2024,"Geisteswissenschaften",Deutsche,Männer,Anzahl,510,,,
2024,"Sport",Deutsche,Männer,Anzahl,123,,,
2024,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3092,,,
2024,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,841,,,
2024,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,362,,,
2024,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,537,,,
2024,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3460,,,
2024,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,233,,,
2024,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,11,,,
2024,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9169,,,
2013,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,2944,,,
2013,"Sport",Deutsche,Frauen,Anzahl,148,,,
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,4173,,,
2013,"Mathematik, Natruwissenschaften",Deutsche,Frauen,Anzahl,1182,,,
2013,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,829,,,
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,599,,,
2013,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1071,,,
2013,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,697,,,
2013,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,,,,
2013,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,11643,,,
2014,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,2655,,,
2014,"Sport",Deutsche,Frauen,Anzahl,155,,,
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,3931,,,
2014,"Mathematik, Natruwissenschaften",Deutsche,Frauen,Anzahl,1424,,,
2014,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,865,,,
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,569,,,
2014,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,971,,,
2014,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,622,,,
2014,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,,,,
2014,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,11192,,,
2015,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,2701,,,
2015,"Sport",Deutsche,Frauen,Anzahl,142,,,
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,4310,,,
2015,"Mathematik, Natruwissenschaften",Deutsche,Frauen,Anzahl,1367,,,
2015,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,906,,,
