Year,Gebietseinheit,Migrationshintergrund,Geocode,Value
2013,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78,95
2013,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85,79
2013,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,81,97
2013,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,81,99
2012,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,79,45
2012,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,74,56
2012,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,64,05
2012,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,78,65
2012,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89,86
2012,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,90,14
2012,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,91,1
2012,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,85,45
2012,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87,74
2012,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,86,35
2012,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,83,12
2012,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,76,76
2012,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,71,13
2012,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,81,51
2012,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,86,76
2012,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,82,49
2012,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,83,99
2012,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,90,61
2012,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82,93
2012,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,87,2
2012,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,80,75
2012,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,86,95
2012,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,88,53
2012,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,87,46
2012,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89,75
2012,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,88,96
2012,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,94,39
2012,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,85,11
2012,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82,63
2012,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,90,05
2012,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,82,64
2012,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,87,63
2012,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,75,06
2012,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,89,92
2012,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,83,92
2012,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71,84
2012,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,85,81
2012,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,88,29
2012,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,91,54
2012,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,74,2
2012,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,81,41
2012,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,94,31
2012,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,43
2012,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,90,17
2012,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,78,29
2012,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,77,44
2012,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84,77
2012,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82,66
2012,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,83,3
2011,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,80,2
2011,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,77,25
2011,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,69,69
2011,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,80,57
2011,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,88,2
2011,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,91,04
2011,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,90,58
2011,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,84,54
2011,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87,01
2011,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,86,01
2011,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,83,76
2011,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,77,34
2011,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,71,43
2011,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,82,33
2011,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,87,28
2011,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,85,97
2011,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,83,96
2011,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,90,64
2011,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82,77
2011,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,83,59
2011,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,81,05
2011,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,86,17
2011,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,88,29
2011,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,89,05
2011,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,87,81
2011,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,90,97
2011,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,94,49
2011,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,87,74
2011,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,87,13
2011,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,88,93
2011,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,83,48
2011,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,88,36
2011,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,75,95
2011,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,88,07
2011,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,83,88
2011,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,74,99
2011,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,87,54
2011,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,86,48
2011,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,92,91
2011,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,74,84
2011,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,80,17
2011,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,94,32
2011,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,54
2011,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,91,11
2011,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,79,35
2011,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,74,66
2011,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85,03
2011,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82,76
2011,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,83,7
,,,,0
2019,Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03101,25,6
2019,Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03102,35,74
2019,Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03103,38,23
2019,Gifhorn,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03151,26,75
2019,Goslar,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03153,19,12
2019,Helmstedt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03154,15,92
2019,Northeim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03155,16,28
2019,Peine,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03157,20,29
2019,Göttingen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03159,16,98
2019,Wolfenbüttel,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03158,15,51
2019,Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K031,22,55
2019,Hannover  Region,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241,30,46
2019,   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241001,37,32
2019,   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241999,24,5
2019,Diepholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03251,17,42
2019,Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03252,26,62
2019,Hildesheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03254,22,82
2019,Holzminden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03255,20,21
2019,Nienburg (Weser),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03256,26,22
2019,Schaumburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03257,18,5
2019,Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K032,26,42
2019,Celle,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03351,19,3
2019,Cuxhaven,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03352,15,62
2019,Harburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03353,21,1
2019,Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03354360,16,24
2019,Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03355,16,66
2019,Osterholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03356,14,25
2019,Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03357,15,38
2019,Heidekreis,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03358,21,78
2019,Stade,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03359,17,78
2019,Verden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03361,19,86
2019,Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K033,17,98
2019,Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03401,33,89
2019,Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03402457,17,09
2019,Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03403,17,4
2019,Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03404,29,4
2019,Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03405,24,31
2019,Ammerland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03451,16,34
2019,Aurich,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03452,13,03
2019,Cloppenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03453,29,67
2019,Emsland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03454,22,65
2019,Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03455462,11,43
2019,Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03456,27,82
2019,Oldenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03458,15,72
2019,Osnabrück,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03459,23,25
2019,Vechta,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03460,34,55
2019,Wesermarsch,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03461,13,12
2019,Stat. Region Weser-Ems,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K034,21,63
2019,Niedersachsen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K030,22,32
2018,Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03101,26,07
2018,Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03102,36,5
2018,Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03103,37,23
2018,Gifhorn,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03151,22,75
2018,Goslar,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03153,16,03
2018,Helmstedt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03154,17,36
2018,Northeim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03155,18,95
2018,Peine,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03157,18,26
2018,Göttingen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03159,18,06
2018,Wolfenbüttel,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03158,14,93
2018,Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K031,22,12
2018,Hannover  Region,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241,30,72
2018,   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241001,38,3
2018,   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241999,24,09
2018,Diepholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03251,17,17
2018,Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03252,28,98
2018,Hildesheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03254,19,89
2018,Holzminden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03255,19,41
2018,Nienburg (Weser),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03256,21,71
2018,Schaumburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03257,17,63
2018,Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K032,25,97
2018,Celle,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03351,19,1
2018,Cuxhaven,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03352,15,67
2018,Harburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03353,19,63
2018,Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03354360,15,7
2018,Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03355,15,1
2018,Osterholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03356,11,31
2018,Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03357,18,84
2018,Heidekreis,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03358,17,9
2018,Stade,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03359,19,51
2018,Verden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03361,19,85
2018,Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K033,17,63
2018,Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03401,33,12
2018,Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03402457,20,06
2018,Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03403,16,72
2018,Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03404,26,71
2018,Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03405,29,31
2018,Ammerland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03451,15,24
2018,Aurich,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03452,11,97
2018,Cloppenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03453,27,82
2018,Emsland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03454,25,67
2018,Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03455462,8,17
2018,Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03456,27,15
2018,Oldenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03458,16,83
2018,Osnabrück,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03459,22,74
2018,Vechta,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03460,32,21
2018,Wesermarsch,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03461,15,09
2018,Stat. Region Weser-Ems,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K034,21,71
2018,Niedersachsen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K030,22,06
2017,Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03101,26,78
2017,Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03102,36,32
2017,Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03103,35,09
2017,Gifhorn,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03151,20,31
2017,Goslar,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03153,16,08
2017,Helmstedt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03154,15,65
2017,Northeim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03155,20,56
2017,Peine,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03157,18,39
2017,Göttingen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03159,19,31
2017,Wolfenbüttel,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03158,14,93
2017,Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K031,22,16
2017,Hannover  Region,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241,30,47
2017,   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241001,36,48
2017,   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241999,25,22
2017,Diepholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03251,16,12
2017,Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03252,30,33
2017,Hildesheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03254,21,21
2017,Holzminden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03255,17,47
2017,Nienburg (Weser),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03256,22,71
2017,Schaumburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03257,18,53
2017,Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K032,26,1
2017,Celle,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03351,20,5
2017,Cuxhaven,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03352,15,04
2017,Harburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03353,19,36
2017,Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03354360,13,2
2017,Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03355,18,33
2017,Osterholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03356,18,24
2017,Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03357,18,61
2017,Heidekreis,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03358,17,01
2017,Stade,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03359,20,18
2017,Verden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03361,18,74
2017,Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K033,18,12
2017,Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03401,36,62
2017,Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03402457,18,27
2017,Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03403,19,27
2017,Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03404,28,29
2017,Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03405,20,67
2017,Ammerland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03451,11,43
2017,Aurich,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03452,10,53
2017,Cloppenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03453,28,72
2017,Emsland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03454,22,68
2017,Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03455462,9,31
2017,Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03456,24,78
2017,Oldenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03458,16,3
2017,Osnabrück,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03459,24,36
2017,Vechta,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03460,32,58
2017,Wesermarsch,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03461,15,94
2017,Stat. Region Weser-Ems,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K034,21,27
2017,Niedersachsen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K030,22,07
2016,Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03101,24,47
2016,Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03102,27,2
2016,Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03103,32,87
2016,Gifhorn,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03151,21,97
2016,Goslar,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03153,13,15
2016,Helmstedt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03154,11,03
2016,Northeim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03155,20,65
2016,Peine,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03157,16,19
2016,Göttingen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03159,18,68
2016,Wolfenbüttel,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03158,12,18
2016,Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K031,20,15
2016,Hannover  Region,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241,27,5
2016,   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241001,32,87
2016,   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03241999,22,82
2016,Diepholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03251,14,8
2016,Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03252,21,99
2016,Hildesheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03254,15,8
2016,Holzminden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03255,16,48
2016,Nienburg (Weser),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03256,18,94
2016,Schaumburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03257,14,49
2016,Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K032,22,57
2016,Celle,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03351,20,91
2016,Cuxhaven,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03352,13,05
2016,Harburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03353,14,58
2016,Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03354360,10,85
2016,Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03355,14,4
2016,Osterholz,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03356,17,16
2016,Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03357,16,4
2016,Heidekreis,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03358,14,2
2016,Stade,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03359,14,85
2016,Verden,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03361,21,14
2016,Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K033,15,66
2016,Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03401,33,69
2016,Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03402457,12,52
2016,Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03403,17,34
2016,Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03404,26,84
2016,Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03405,13,67
2016,Ammerland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03451,9,38
2016,Aurich,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03452,8,22
2016,Cloppenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03453,27,24
2016,Emsland,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03454,23,04
2016,Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03455462,8,95
2016,Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03456,24,34
2016,Oldenburg,Anteil der Personen mit Migrationshintergrund 
im weiteren Sinne,K03458,12,21
