Year,Gebietseinheit,Migrationshintergrund,Geocode,Value
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83.0,45.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,93.0,16.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,90.0,55.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,73.0,7.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,82.0,32.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,93.0,23.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77.0,9.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,88.0,38.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,77.0,57.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78.0,95.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85.0,79.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,81.0,97.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,81.0,99.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,79.0,45.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,74.0,56.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,64.0,5.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,78.0,65.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89.0,86.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,90.0,14.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,91.0,1.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,85.0,45.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87.0,74.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,86.0,35.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,83.0,12.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,76.0,76.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,71.0,13.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,81.0,51.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,86.0,76.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,82.0,49.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,83.0,99.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,90.0,61.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82.0,93.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,87.0,2.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,80.0,75.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,86.0,95.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,88.0,53.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,87.0,46.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89.0,75.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,88.0,96.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,94.0,39.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,85.0,11.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82.0,63.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,90.0,5.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,82.0,64.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,87.0,63.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,75.0,6.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,89.0,92.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,83.0,92.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71.0,84.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,85.0,81.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,88.0,29.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,91.0,54.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,74.0,2.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,81.0,41.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,94.0,31.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77.0,43.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,90.0,17.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,78.0,29.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,77.0,44.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84.0,77.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82.0,66.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,83.0,3.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,80.0,2.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,77.0,25.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,69.0,69.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,80.0,57.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,88.0,2.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,91.0,4.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,90.0,58.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,84.0,54.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87.0,1.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,86.0,1.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,83.0,76.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,77.0,34.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,71.0,43.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,82.0,33.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,87.0,28.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,85.0,97.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,83.0,96.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,90.0,64.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82.0,77.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,83.0,59.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,81.0,5.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,86.0,17.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,88.0,29.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,89.0,5.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,87.0,81.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,90.0,97.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,94.0,49.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,87.0,74.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,87.0,13.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,88.0,93.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,83.0,48.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,88.0,36.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,75.0,95.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,88.0,7.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,83.0,88.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,74.0,99.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,87.0,54.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,86.0,48.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,92.0,91.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,74.0,84.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,80.0,17.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,94.0,32.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77.0,54.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,91.0,11.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,79.0,35.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,74.0,66.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85.0,3.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82.0,76.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,83.0,7.0
,,,0.0,
Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03101,25,6,,
Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03102,35,74,,
Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03103,38,23,,
Gifhorn,Anteil der Personen mit Migrationshintergrund ,,,
K03151,26,75,,
Goslar,Anteil der Personen mit Migrationshintergrund ,,,
K03153,19,12,,
Helmstedt,Anteil der Personen mit Migrationshintergrund ,,,
K03154,15,92,,
Northeim,Anteil der Personen mit Migrationshintergrund ,,,
K03155,16,28,,
Peine,Anteil der Personen mit Migrationshintergrund ,,,
K03157,20,29,,
Göttingen,Anteil der Personen mit Migrationshintergrund ,,,
K03159,16,98,,
Wolfenbüttel,Anteil der Personen mit Migrationshintergrund ,,,
K03158,15,51,,
Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund ,,,
K031,22,55,,
Hannover  Region,Anteil der Personen mit Migrationshintergrund ,,,
K03241,30,46,,
   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund ,,,
K03241001,37,32,,
   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund ,,,
K03241999,24,5,,
Diepholz,Anteil der Personen mit Migrationshintergrund ,,,
K03251,17,42,,
Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund ,,,
K03252,26,62,,
Hildesheim,Anteil der Personen mit Migrationshintergrund ,,,
K03254,22,82,,
Holzminden,Anteil der Personen mit Migrationshintergrund ,,,
K03255,20,21,,
Nienburg (Weser),Anteil der Personen mit Migrationshintergrund ,,,
K03256,26,22,,
Schaumburg,Anteil der Personen mit Migrationshintergrund ,,,
K03257,18,5,,
Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund ,,,
K032,26,42,,
Celle,Anteil der Personen mit Migrationshintergrund ,,,
K03351,19,3,,
Cuxhaven,Anteil der Personen mit Migrationshintergrund ,,,
K03352,15,62,,
Harburg,Anteil der Personen mit Migrationshintergrund ,,,
K03353,21,1,,
Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund ,,,
K03354360,16,24,,
Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K03355,16,66,,
Osterholz,Anteil der Personen mit Migrationshintergrund ,,,
K03356,14,25,,
Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund ,,,
K03357,15,38,,
Heidekreis,Anteil der Personen mit Migrationshintergrund ,,,
K03358,21,78,,
Stade,Anteil der Personen mit Migrationshintergrund ,,,
K03359,17,78,,
Verden,Anteil der Personen mit Migrationshintergrund ,,,
K03361,19,86,,
Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K033,17,98,,
Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03401,33,89,,
Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund ,,,
K03402457,17,09,,
Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03403,17,4,,
Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03404,29,4,,
Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03405,24,31,,
Ammerland,Anteil der Personen mit Migrationshintergrund ,,,
K03451,16,34,,
Aurich,Anteil der Personen mit Migrationshintergrund ,,,
K03452,13,03,,
Cloppenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03453,29,67,,
Emsland,Anteil der Personen mit Migrationshintergrund ,,,
K03454,22,65,,
Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund ,,,
K03455462,11,43,,
Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund ,,,
K03456,27,82,,
Oldenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03458,15,72,,
Osnabrück,Anteil der Personen mit Migrationshintergrund ,,,
K03459,23,25,,
Vechta,Anteil der Personen mit Migrationshintergrund ,,,
K03460,34,55,,
Wesermarsch,Anteil der Personen mit Migrationshintergrund ,,,
K03461,13,12,,
Stat. Region Weser-Ems,Anteil der Personen mit Migrationshintergrund ,,,
K034,21,63,,
Niedersachsen,Anteil der Personen mit Migrationshintergrund ,,,
K030,22,32,,
Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03101,26,07,,
Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03102,36,5,,
Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03103,37,23,,
Gifhorn,Anteil der Personen mit Migrationshintergrund ,,,
K03151,22,75,,
Goslar,Anteil der Personen mit Migrationshintergrund ,,,
K03153,16,03,,
Helmstedt,Anteil der Personen mit Migrationshintergrund ,,,
K03154,17,36,,
Northeim,Anteil der Personen mit Migrationshintergrund ,,,
K03155,18,95,,
Peine,Anteil der Personen mit Migrationshintergrund ,,,
K03157,18,26,,
Göttingen,Anteil der Personen mit Migrationshintergrund ,,,
K03159,18,06,,
Wolfenbüttel,Anteil der Personen mit Migrationshintergrund ,,,
K03158,14,93,,
Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund ,,,
K031,22,12,,
Hannover  Region,Anteil der Personen mit Migrationshintergrund ,,,
K03241,30,72,,
   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund ,,,
K03241001,38,3,,
   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund ,,,
K03241999,24,09,,
Diepholz,Anteil der Personen mit Migrationshintergrund ,,,
K03251,17,17,,
Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund ,,,
K03252,28,98,,
Hildesheim,Anteil der Personen mit Migrationshintergrund ,,,
K03254,19,89,,
Holzminden,Anteil der Personen mit Migrationshintergrund ,,,
K03255,19,41,,
Nienburg (Weser),Anteil der Personen mit Migrationshintergrund ,,,
K03256,21,71,,
Schaumburg,Anteil der Personen mit Migrationshintergrund ,,,
K03257,17,63,,
Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund ,,,
K032,25,97,,
Celle,Anteil der Personen mit Migrationshintergrund ,,,
K03351,19,1,,
Cuxhaven,Anteil der Personen mit Migrationshintergrund ,,,
K03352,15,67,,
Harburg,Anteil der Personen mit Migrationshintergrund ,,,
K03353,19,63,,
Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund ,,,
K03354360,15,7,,
Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K03355,15,1,,
Osterholz,Anteil der Personen mit Migrationshintergrund ,,,
K03356,11,31,,
Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund ,,,
K03357,18,84,,
Heidekreis,Anteil der Personen mit Migrationshintergrund ,,,
K03358,17,9,,
Stade,Anteil der Personen mit Migrationshintergrund ,,,
K03359,19,51,,
Verden,Anteil der Personen mit Migrationshintergrund ,,,
K03361,19,85,,
Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K033,17,63,,
Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03401,33,12,,
Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund ,,,
K03402457,20,06,,
Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03403,16,72,,
Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03404,26,71,,
Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03405,29,31,,
Ammerland,Anteil der Personen mit Migrationshintergrund ,,,
K03451,15,24,,
Aurich,Anteil der Personen mit Migrationshintergrund ,,,
K03452,11,97,,
Cloppenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03453,27,82,,
Emsland,Anteil der Personen mit Migrationshintergrund ,,,
K03454,25,67,,
Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund ,,,
K03455462,8,17,,
Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund ,,,
K03456,27,15,,
Oldenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03458,16,83,,
Osnabrück,Anteil der Personen mit Migrationshintergrund ,,,
K03459,22,74,,
Vechta,Anteil der Personen mit Migrationshintergrund ,,,
K03460,32,21,,
Wesermarsch,Anteil der Personen mit Migrationshintergrund ,,,
K03461,15,09,,
Stat. Region Weser-Ems,Anteil der Personen mit Migrationshintergrund ,,,
K034,21,71,,
Niedersachsen,Anteil der Personen mit Migrationshintergrund ,,,
K030,22,06,,
Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03101,26,78,,
Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03102,36,32,,
Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03103,35,09,,
Gifhorn,Anteil der Personen mit Migrationshintergrund ,,,
K03151,20,31,,
Goslar,Anteil der Personen mit Migrationshintergrund ,,,
K03153,16,08,,
Helmstedt,Anteil der Personen mit Migrationshintergrund ,,,
K03154,15,65,,
Northeim,Anteil der Personen mit Migrationshintergrund ,,,
K03155,20,56,,
Peine,Anteil der Personen mit Migrationshintergrund ,,,
K03157,18,39,,
Göttingen,Anteil der Personen mit Migrationshintergrund ,,,
K03159,19,31,,
Wolfenbüttel,Anteil der Personen mit Migrationshintergrund ,,,
K03158,14,93,,
Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund ,,,
K031,22,16,,
Hannover  Region,Anteil der Personen mit Migrationshintergrund ,,,
K03241,30,47,,
   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund ,,,
K03241001,36,48,,
   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund ,,,
K03241999,25,22,,
Diepholz,Anteil der Personen mit Migrationshintergrund ,,,
K03251,16,12,,
Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund ,,,
K03252,30,33,,
Hildesheim,Anteil der Personen mit Migrationshintergrund ,,,
K03254,21,21,,
Holzminden,Anteil der Personen mit Migrationshintergrund ,,,
K03255,17,47,,
Nienburg (Weser),Anteil der Personen mit Migrationshintergrund ,,,
K03256,22,71,,
Schaumburg,Anteil der Personen mit Migrationshintergrund ,,,
K03257,18,53,,
Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund ,,,
K032,26,1,,
Celle,Anteil der Personen mit Migrationshintergrund ,,,
K03351,20,5,,
Cuxhaven,Anteil der Personen mit Migrationshintergrund ,,,
K03352,15,04,,
Harburg,Anteil der Personen mit Migrationshintergrund ,,,
K03353,19,36,,
Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund ,,,
K03354360,13,2,,
Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K03355,18,33,,
Osterholz,Anteil der Personen mit Migrationshintergrund ,,,
K03356,18,24,,
Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund ,,,
K03357,18,61,,
Heidekreis,Anteil der Personen mit Migrationshintergrund ,,,
K03358,17,01,,
Stade,Anteil der Personen mit Migrationshintergrund ,,,
K03359,20,18,,
Verden,Anteil der Personen mit Migrationshintergrund ,,,
K03361,18,74,,
Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K033,18,12,,
Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03401,36,62,,
Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund ,,,
K03402457,18,27,,
Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03403,19,27,,
Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03404,28,29,,
Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03405,20,67,,
Ammerland,Anteil der Personen mit Migrationshintergrund ,,,
K03451,11,43,,
Aurich,Anteil der Personen mit Migrationshintergrund ,,,
K03452,10,53,,
Cloppenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03453,28,72,,
Emsland,Anteil der Personen mit Migrationshintergrund ,,,
K03454,22,68,,
Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund ,,,
K03455462,9,31,,
Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund ,,,
K03456,24,78,,
Oldenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03458,16,3,,
Osnabrück,Anteil der Personen mit Migrationshintergrund ,,,
K03459,24,36,,
Vechta,Anteil der Personen mit Migrationshintergrund ,,,
K03460,32,58,,
Wesermarsch,Anteil der Personen mit Migrationshintergrund ,,,
K03461,15,94,,
Stat. Region Weser-Ems,Anteil der Personen mit Migrationshintergrund ,,,
K034,21,27,,
Niedersachsen,Anteil der Personen mit Migrationshintergrund ,,,
K030,22,07,,
Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03101,24,47,,
Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03102,27,2,,
Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03103,32,87,,
Gifhorn,Anteil der Personen mit Migrationshintergrund ,,,
K03151,21,97,,
Goslar,Anteil der Personen mit Migrationshintergrund ,,,
K03153,13,15,,
Helmstedt,Anteil der Personen mit Migrationshintergrund ,,,
K03154,11,03,,
Northeim,Anteil der Personen mit Migrationshintergrund ,,,
K03155,20,65,,
Peine,Anteil der Personen mit Migrationshintergrund ,,,
K03157,16,19,,
Göttingen,Anteil der Personen mit Migrationshintergrund ,,,
K03159,18,68,,
Wolfenbüttel,Anteil der Personen mit Migrationshintergrund ,,,
K03158,12,18,,
Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund ,,,
K031,20,15,,
Hannover  Region,Anteil der Personen mit Migrationshintergrund ,,,
K03241,27,5,,
   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund ,,,
K03241001,32,87,,
   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund ,,,
K03241999,22,82,,
Diepholz,Anteil der Personen mit Migrationshintergrund ,,,
K03251,14,8,,
Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund ,,,
K03252,21,99,,
Hildesheim,Anteil der Personen mit Migrationshintergrund ,,,
K03254,15,8,,
Holzminden,Anteil der Personen mit Migrationshintergrund ,,,
K03255,16,48,,
Nienburg (Weser),Anteil der Personen mit Migrationshintergrund ,,,
K03256,18,94,,
Schaumburg,Anteil der Personen mit Migrationshintergrund ,,,
K03257,14,49,,
Stat. Region Hannover,Anteil der Personen mit Migrationshintergrund ,,,
K032,22,57,,
Celle,Anteil der Personen mit Migrationshintergrund ,,,
K03351,20,91,,
Cuxhaven,Anteil der Personen mit Migrationshintergrund ,,,
K03352,13,05,,
Harburg,Anteil der Personen mit Migrationshintergrund ,,,
K03353,14,58,,
Lüchow-Dannenberg / Uelzen,Anteil der Personen mit Migrationshintergrund ,,,
K03354360,10,85,,
Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K03355,14,4,,
Osterholz,Anteil der Personen mit Migrationshintergrund ,,,
K03356,17,16,,
Rotenburg (Wümme),Anteil der Personen mit Migrationshintergrund ,,,
K03357,16,4,,
Heidekreis,Anteil der Personen mit Migrationshintergrund ,,,
K03358,14,2,,
Stade,Anteil der Personen mit Migrationshintergrund ,,,
K03359,14,85,,
Verden,Anteil der Personen mit Migrationshintergrund ,,,
K03361,21,14,,
Stat. Region Lüneburg,Anteil der Personen mit Migrationshintergrund ,,,
K033,15,66,,
Delmenhorst  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03401,33,69,,
Emden  Stadt / Leer,Anteil der Personen mit Migrationshintergrund ,,,
K03402457,12,52,,
Oldenburg(Oldb)  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03403,17,34,,
Osnabrück  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03404,26,84,,
Wilhelmshaven  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03405,13,67,,
Ammerland,Anteil der Personen mit Migrationshintergrund ,,,
K03451,9,38,,
Aurich,Anteil der Personen mit Migrationshintergrund ,,,
K03452,8,22,,
Cloppenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03453,27,24,,
Emsland,Anteil der Personen mit Migrationshintergrund ,,,
K03454,23,04,,
Friesland / Wittmund,Anteil der Personen mit Migrationshintergrund ,,,
K03455462,8,95,,
Grafschaft Bentheim,Anteil der Personen mit Migrationshintergrund ,,,
K03456,24,34,,
Oldenburg,Anteil der Personen mit Migrationshintergrund ,,,
K03458,12,21,,
Osnabrück,Anteil der Personen mit Migrationshintergrund ,,,
K03459,23,86,,
Vechta,Anteil der Personen mit Migrationshintergrund ,,,
K03460,27,68,,
Wesermarsch,Anteil der Personen mit Migrationshintergrund ,,,
K03461,14,83,,
Stat. Region Weser-Ems,Anteil der Personen mit Migrationshintergrund ,,,
K034,19,33,,
Niedersachsen,Anteil der Personen mit Migrationshintergrund ,,,
K030,19,58,,
Braunschweig  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03101,21,86,,
Salzgitter  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03102,29,2,,
Wolfsburg  Stadt,Anteil der Personen mit Migrationshintergrund ,,,
K03103,31,05,,
Gifhorn,Anteil der Personen mit Migrationshintergrund ,,,
K03151,20,8,,
Goslar,Anteil der Personen mit Migrationshintergrund ,,,
K03153,10,75,,
Helmstedt,Anteil der Personen mit Migrationshintergrund ,,,
K03154,15,06,,
Northeim,Anteil der Personen mit Migrationshintergrund ,,,
K03155,11,05,,
Peine,Anteil der Personen mit Migrationshintergrund ,,,
K03157,17,68,,
Göttingen,Anteil der Personen mit Migrationshintergrund ,,,
K03159,12,7,,
Wolfenbüttel,Anteil der Personen mit Migrationshintergrund ,,,
K03158,14,91,,
Stat. Region Braunschweig,Anteil der Personen mit Migrationshintergrund ,,,
K031,17,97,,
Hannover  Region,Anteil der Personen mit Migrationshintergrund ,,,
K03241,25,57,,
   dav. Hannover  Lhst.,Anteil der Personen mit Migrationshintergrund ,,,
K03241001,31,71,,
   dav. Hannover  Umland,Anteil der Personen mit Migrationshintergrund ,,,
K03241999,20,27,,
Diepholz,Anteil der Personen mit Migrationshintergrund ,,,
K03251,14,27,,
Hameln-Pyrmont,Anteil der Personen mit Migrationshintergrund ,,,
K03252,14,11,,
Hildesheim,Anteil der Personen mit Migrationshintergrund ,,,
K03254,17,18,,
Holzminden,Anteil der Personen mit Migrationshintergrund ,,,
K03255,8,19,,
Nienburg (Weser),Anteil der Personen mit Migrationshintergrund ,,,
K03256,17,13,,
Schaumburg,Anteil der Personen mit Migrationshintergrund ,,,
