Year,Migrationsstatus,Lebensform,mit oder ohne ledige Kinder,Units,Value
2015,ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,825.6
2015,mit Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,267.0
2015,mit und ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,764.4
2015,ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,561.0
2015,mit Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,203.4
2015,mit und ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,78.9
2015,ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,62.7
2015,mit Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,16.2
2015,mit und ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,249.2
2015,ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,201.9
2015,mit Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,47.3
2016,mit und ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,1112.1
2016,ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,819.9
2016,mit Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,292.1
2016,mit und ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,773.1
2016,ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,556.2
2016,mit Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,217.0
2016,mit und ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,78.1
2016,ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,59.5
2016,mit Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,18.6
2016,mit und ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,260.8
2016,ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,204.2
2016,mit Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,56.6
2017,mit und ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,1099.5
2017,ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,789.5
2017,mit Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,310.0
2017,mit und ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,771.5
2017,ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,534.5
2017,mit Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,237.0
2017,mit und ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,83.6
2017,ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,64.3
2017,mit Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,19.3
2017,mit und ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,244.4
2017,ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,190.7
2017,mit Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,53.7
2018,mit und ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,1082.7
2018,ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,758.7
2018,mit Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,324.0
2018,mit und ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,761.4
2018,ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,511.9
2018,mit Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,249.5
2018,mit und ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,83.7
2018,ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,62.1
2018,mit Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,21.7
2018,mit und ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,237.5
2018,ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,184.7
2018,mit Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,52.8
2019,mit und ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,1095.3
2019,ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,763.0
2019,mit Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,332.2
2019,mit und ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,763.6
2019,ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,510.3
2019,mit Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,253.3
2019,mit und ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,91.7
2019,ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,68.5
2019,mit Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,23.2
2019,mit und ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,240.0
2019,ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,184.2
2019,mit Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,55.8
2020,mit und ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,
2020,ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,
2020,mit Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,
2020,mit und ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,
2020,ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,
2020,mit Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,
2020,mit und ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,
2020,ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,
2020,mit Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,
2020,mit und ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,
2020,ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,
2020,mit Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,
2021,mit und ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,1106.0
2021,ohne Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,726.0
2021,mit Migrationshintergrund,Insgesamt,mit ledigen Kindern,in 1 000,380.0
2021,mit und ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,769.0
2021,ohne Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,492.0
2021,mit Migrationshintergrund,Ehepaare,mit ledigen Kindern,in 1 000,277.0
2021,mit und ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,96.0
2021,ohne Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,66.0
2021,mit Migrationshintergrund,Lebensgemeinschaften,mit ledigen Kindern,in 1 000,31.0
2021,mit und ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,241.0
2021,ohne Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,168.0
2021,mit Migrationshintergrund,Alleinerziehende,mit ledigen Kindern,in 1 000,73.0
