Year,Migrationsstatus,Haushaltsnettoeinkommen,Haushaltsgröße,COMMENT_OBS,Value
2023,Insgesamt,3500 - 4000,Mehrpersonenhaushalte (zusammen),,263
2023,Insgesamt,4000 - 5000,Mehrpersonenhaushalte (zusammen),,438
2023,Insgesamt,5000 und mehr,Mehrpersonenhaushalte (zusammen),,655
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,1676
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),,7
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),,12
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),,22
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,93
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,150
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,175
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,190
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,190
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,327
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,508
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,256
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,12
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,21
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,25
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,27
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,30
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,53
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,83
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,426
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),,10
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),,14
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),,22
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,54
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,54
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,54
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,52
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,43
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,57
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,65
2022,Insgesamt,Insgesamt,Mehrpersonenhaushalte (zusammen),,2337
2022,Insgesamt,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2022,Insgesamt,500 - 1000,Mehrpersonenhaushalte (zusammen),,20
2022,Insgesamt,1000 - 1250,Mehrpersonenhaushalte (zusammen),,37
2022,Insgesamt,1250 - 1500,Mehrpersonenhaushalte (zusammen),,56
2022,Insgesamt,1500 - 2000,Mehrpersonenhaushalte (zusammen),,186
2022,Insgesamt,2000 - 2500,Mehrpersonenhaushalte (zusammen),,239
2022,Insgesamt,2500 - 3000,Mehrpersonenhaushalte (zusammen),,276
2022,Insgesamt,3000 - 3500,Mehrpersonenhaushalte (zusammen),,275
2022,Insgesamt,3500 - 4000,Mehrpersonenhaushalte (zusammen),,269
2022,Insgesamt,4000 - 5000,Mehrpersonenhaushalte (zusammen),,406
2022,Insgesamt,5000 und mehr,Mehrpersonenhaushalte (zusammen),,569
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,1680
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),,10
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),,20
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),,30
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,112
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,166
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,191
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,201
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,196
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,308
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,443
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,249
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,18
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,22
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,24
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,26
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,30
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,44
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,74
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,409
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),,9
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),,13
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),,21
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,56
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,51
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,60
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,48
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,43
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,54
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,52
2021,Insgesamt,Insgesamt,Mehrpersonenhaushalte (zusammen),,2295    
2021,Insgesamt,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,       
2021,Insgesamt,500 - 1000,Mehrpersonenhaushalte (zusammen),,30      
2021,Insgesamt,1000 - 1250,Mehrpersonenhaushalte (zusammen),,43      
2021,Insgesamt,1250 - 1500,Mehrpersonenhaushalte (zusammen),,63      
2021,Insgesamt,1500 - 2000,Mehrpersonenhaushalte (zusammen),,197     
2021,Insgesamt,2000 - 2500,Mehrpersonenhaushalte (zusammen),,248     
2021,Insgesamt,2500 - 3000,Mehrpersonenhaushalte (zusammen),,280     
2021,Insgesamt,3000 - 3500,Mehrpersonenhaushalte (zusammen),,279     
2021,Insgesamt,3500 - 4000,Mehrpersonenhaushalte (zusammen),,265     
2021,Insgesamt,4000 - 5000,Mehrpersonenhaushalte (zusammen),,377     
2021,Insgesamt,5000 und mehr,Mehrpersonenhaushalte (zusammen),,507     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,1667    
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,       
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),,17      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),,25      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),,35      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,123     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,171     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,197     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,202     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,199     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,293     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,401     
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,241     
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,18      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,21      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,28      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,30      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,29      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,38      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,65      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Mehrpersonenhaushalte (zusammen),,387     
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,       
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Mehrpersonenhaushalte (zusammen),Statistisch unsicher,10    
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Mehrpersonenhaushalte (zusammen),,13      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Mehrpersonenhaushalte (zusammen),,23      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Mehrpersonenhaushalte (zusammen),,56      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Mehrpersonenhaushalte (zusammen),,56      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Mehrpersonenhaushalte (zusammen),,55      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Mehrpersonenhaushalte (zusammen),,47      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Mehrpersonenhaushalte (zusammen),,37      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Mehrpersonenhaushalte (zusammen),,46      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Mehrpersonenhaushalte (zusammen),,41      
2023,Insgesamt,Insgesamt,davon mit 2 Personen,,1349
2023,Insgesamt,unter 500,davon mit 2 Personen,gesperrt,
2023,Insgesamt,500 - 1000,davon mit 2 Personen,,15
2023,Insgesamt,1000 - 1250,davon mit 2 Personen,,19
2023,Insgesamt,1250 - 1500,davon mit 2 Personen,,36
2023,Insgesamt,1500 - 2000,davon mit 2 Personen,,122
2023,Insgesamt,2000 - 2500,davon mit 2 Personen,,164
2023,Insgesamt,2500 - 3000,davon mit 2 Personen,,179
2023,Insgesamt,3000 - 3500,davon mit 2 Personen,,176
2023,Insgesamt,3500 - 4000,davon mit 2 Personen,,154
2023,Insgesamt,4000 - 5000,davon mit 2 Personen,,225
2023,Insgesamt,5000 und mehr,davon mit 2 Personen,,255
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,davon mit 2 Personen,,1050
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,davon mit 2 Personen,gesperrt,
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,davon mit 2 Personen,,6
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,davon mit 2 Personen,,10
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,davon mit 2 Personen,,20
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,davon mit 2 Personen,,82
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,davon mit 2 Personen,,127
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,davon mit 2 Personen,,139
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,davon mit 2 Personen,,139
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,davon mit 2 Personen,,125
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,davon mit 2 Personen,,185
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,davon mit 2 Personen,,215
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,davon mit 2 Personen,,128
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,davon mit 2 Personen,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,davon mit 2 Personen,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,davon mit 2 Personen,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,davon mit 2 Personen,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,davon mit 2 Personen,,9
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,davon mit 2 Personen,,15
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,davon mit 2 Personen,,17
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,davon mit 2 Personen,,16
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,davon mit 2 Personen,,15
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,davon mit 2 Personen,,25
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,davon mit 2 Personen,,28
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,davon mit 2 Personen,,171
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,davon mit 2 Personen,gesperrt,
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,davon mit 2 Personen,,8
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,davon mit 2 Personen,,8
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,davon mit 2 Personen,,13
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,davon mit 2 Personen,,31
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,davon mit 2 Personen,,22
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,davon mit 2 Personen,,23
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,davon mit 2 Personen,,22
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,davon mit 2 Personen,,14
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,davon mit 2 Personen,,15
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,davon mit 2 Personen,,13
2022,Insgesamt,Insgesamt,davon mit 2 Personen,,1343
2022,Insgesamt,unter 500,davon mit 2 Personen,gesperrt,
2022,Insgesamt,500 - 1000,davon mit 2 Personen,,16
2022,Insgesamt,1000 - 1250,davon mit 2 Personen,,27
2022,Insgesamt,1250 - 1500,davon mit 2 Personen,,45
2022,Insgesamt,1500 - 2000,davon mit 2 Personen,,141
2022,Insgesamt,2000 - 2500,davon mit 2 Personen,,172
2022,Insgesamt,2500 - 3000,davon mit 2 Personen,,186
2022,Insgesamt,3000 - 3500,davon mit 2 Personen,,171
2022,Insgesamt,3500 - 4000,davon mit 2 Personen,,154
2022,Insgesamt,4000 - 5000,davon mit 2 Personen,,206
2022,Insgesamt,5000 und mehr,davon mit 2 Personen,,223
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,davon mit 2 Personen,,1058
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,davon mit 2 Personen,gesperrt,
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,davon mit 2 Personen,,9
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,davon mit 2 Personen,,16
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,davon mit 2 Personen,,26
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,davon mit 2 Personen,,97
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,davon mit 2 Personen,,136
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,davon mit 2 Personen,,147
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,davon mit 2 Personen,,138
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,davon mit 2 Personen,,125
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,davon mit 2 Personen,,173
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,davon mit 2 Personen,,189
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,davon mit 2 Personen,,128
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,davon mit 2 Personen,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,davon mit 2 Personen,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,davon mit 2 Personen,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,davon mit 2 Personen,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,davon mit 2 Personen,,14
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,davon mit 2 Personen,,16
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,davon mit 2 Personen,,15
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,davon mit 2 Personen,,15
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,davon mit 2 Personen,,15
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,davon mit 2 Personen,,20
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,davon mit 2 Personen,,25
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,davon mit 2 Personen,,158
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,davon mit 2 Personen,gesperrt,
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,davon mit 2 Personen,,7
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,davon mit 2 Personen,,8
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,davon mit 2 Personen,,15
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,davon mit 2 Personen,,29
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,davon mit 2 Personen,,20
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,davon mit 2 Personen,,24
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,davon mit 2 Personen,,18
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,davon mit 2 Personen,,15
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,davon mit 2 Personen,,13
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,davon mit 2 Personen,,9
2021,Insgesamt,Insgesamt,davon mit 2 Personen,,1316    
2021,Insgesamt,unter 500,davon mit 2 Personen,gesperrt,       
2021,Insgesamt,500 - 1000,davon mit 2 Personen,,24      
2021,Insgesamt,1000 - 1250,davon mit 2 Personen,,33      
2021,Insgesamt,1250 - 1500,davon mit 2 Personen,,47      
2021,Insgesamt,1500 - 2000,davon mit 2 Personen,,146     
2021,Insgesamt,2000 - 2500,davon mit 2 Personen,,180     
2021,Insgesamt,2500 - 3000,davon mit 2 Personen,,183     
2021,Insgesamt,3000 - 3500,davon mit 2 Personen,,168     
2021,Insgesamt,3500 - 4000,davon mit 2 Personen,,143     
2021,Insgesamt,4000 - 5000,davon mit 2 Personen,,185     
2021,Insgesamt,5000 und mehr,davon mit 2 Personen,,202     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,davon mit 2 Personen,,1042    
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,davon mit 2 Personen,gesperrt,       
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,davon mit 2 Personen,,15      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,davon mit 2 Personen,,21      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,davon mit 2 Personen,,30      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,davon mit 2 Personen,,104     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,davon mit 2 Personen,,140     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,davon mit 2 Personen,,144     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,davon mit 2 Personen,,136     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,davon mit 2 Personen,,120     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,davon mit 2 Personen,,157     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,davon mit 2 Personen,,172     
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,davon mit 2 Personen,,124     
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,davon mit 2 Personen,gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,davon mit 2 Personen,gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,davon mit 2 Personen,gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,davon mit 2 Personen,gesperrt,       
